fold,seed,arch,n_moving,ang_median,ang_mean,frac_gross,mag_bias
0,0,wayformer,638,5.678,18.814,0.1254,-3.051
0,0,baseline,638,4.067,17.008,0.1160,-3.658
0,1,wayformer,638,4.792,17.253,0.1050,-3.472
0,1,baseline,638,4.105,17.167,0.1270,-3.657
0,2,wayformer,638,6.376,18.535,0.1160,-3.260
0,2,baseline,638,8.088,18.661,0.0956,-1.818
0,3,wayformer,638,4.498,16.185,0.0925,-3.536
0,3,baseline,638,3.698,16.102,0.1019,-3.667
0,4,wayformer,638,5.701,18.225,0.1097,-3.122
0,4,baseline,638,3.632,17.523,0.1113,-3.666
0,5,wayformer,638,6.772,19.106,0.1176,-2.694
0,5,baseline,638,4.199,17.168,0.1270,-3.656
0,6,wayformer,638,4.986,17.080,0.1050,-2.858
0,6,baseline,638,4.536,18.225,0.1317,-3.669
0,7,wayformer,638,5.634,18.462,0.1129,-3.494
0,7,baseline,638,4.123,17.826,0.1285,-3.668
1,0,wayformer,676,5.424,21.362,0.1287,-4.916
1,0,baseline,676,6.977,23.244,0.1435,-4.257
1,1,wayformer,676,9.006,29.129,0.1790,-4.796
1,1,baseline,676,7.507,21.841,0.1376,-4.004
1,2,wayformer,676,6.329,25.188,0.1568,-4.891
1,2,baseline,676,7.546,22.741,0.1361,-4.002
1,3,wayformer,676,7.420,27.382,0.1746,-4.872
1,3,baseline,676,9.296,20.250,0.1021,-2.756
1,4,wayformer,676,9.079,27.244,0.1701,-3.383
1,4,baseline,676,6.608,22.422,0.1376,-3.879
1,5,wayformer,676,8.582,29.034,0.1746,-4.822
1,5,baseline,676,11.523,25.273,0.1391,-3.758
1,6,wayformer,676,5.800,22.902,0.1405,-4.922
1,6,baseline,676,7.469,23.223,0.1405,-4.333
1,7,wayformer,676,7.650,27.490,0.1731,-4.783
1,7,baseline,676,9.084,22.659,0.1272,-3.925
2,0,wayformer,467,3.242,13.894,0.0685,-6.027
2,0,baseline,467,2.626,24.451,0.1306,-8.143
2,1,wayformer,467,2.800,13.990,0.0664,-7.565
2,1,baseline,467,2.647,24.829,0.1349,-8.181
2,2,wayformer,467,2.307,12.205,0.0514,-7.700
2,2,baseline,467,2.265,23.270,0.1285,-8.118
2,3,wayformer,467,3.423,19.930,0.1670,-7.772
2,3,baseline,467,2.352,25.375,0.1328,-8.168
2,4,wayformer,467,1.957,20.076,0.1263,-8.018
2,4,baseline,467,1.848,25.223,0.1306,-8.154
2,5,wayformer,467,2.925,17.133,0.1435,-7.724
2,5,baseline,467,2.356,24.160,0.1285,-8.155
2,6,wayformer,467,2.719,13.897,0.0493,-7.413
2,6,baseline,467,2.639,23.884,0.1349,-8.108
2,7,wayformer,467,1.993,17.223,0.0857,-7.174
2,7,baseline,467,2.655,25.061,0.1349,-8.174
3,0,wayformer,483,6.814,22.601,0.1988,-4.441
3,0,baseline,483,7.310,16.262,0.0787,-2.848
3,1,wayformer,483,4.086,22.662,0.1491,-3.704
3,1,baseline,483,5.398,17.028,0.1035,-2.848
3,2,wayformer,483,4.319,23.477,0.1636,-3.754
3,2,baseline,483,6.179,15.664,0.0787,-2.879
3,3,wayformer,483,7.557,32.494,0.1905,-5.414
3,3,baseline,483,7.031,19.070,0.0994,-3.036
3,4,wayformer,483,4.236,19.349,0.1387,-3.617
3,4,baseline,483,5.222,18.994,0.1035,-3.243
3,5,wayformer,483,8.476,33.328,0.2029,-5.418
3,5,baseline,483,7.228,16.755,0.0704,-2.502
3,6,wayformer,483,4.927,18.161,0.1242,-2.552
3,6,baseline,483,5.232,16.782,0.0973,-2.864
3,7,wayformer,483,5.085,19.040,0.1222,-4.263
3,7,baseline,483,6.460,15.466,0.0745,-3.348
4,0,wayformer,865,4.738,22.987,0.1549,-2.201
4,0,baseline,865,6.304,22.248,0.1468,-4.666
4,1,wayformer,865,3.753,17.335,0.1064,-3.466
4,1,baseline,865,6.063,21.963,0.1445,-4.679
4,2,wayformer,865,3.853,19.507,0.1156,-4.472
4,2,baseline,865,6.196,22.090,0.1480,-4.650
4,3,wayformer,865,7.080,25.017,0.1688,-4.199
4,3,baseline,865,6.326,22.464,0.1526,-4.681
4,4,wayformer,865,3.006,16.686,0.1075,-4.163
4,4,baseline,865,6.354,22.520,0.1445,-4.656
4,5,wayformer,865,3.391,18.262,0.0994,-4.368
4,5,baseline,865,6.341,22.323,0.1457,-4.625
4,6,wayformer,865,3.674,19.272,0.1121,-4.588
4,6,baseline,865,6.576,22.650,0.1491,-4.621
4,7,wayformer,865,3.129,17.933,0.1168,-4.024
4,7,baseline,865,6.777,22.513,0.1491,-4.662
