fold,variant,seed,scene,n_obj,n_moving,ade_all,fde_all,ade_moving,fde_moving,gate,minade_all,minfde_all,minade_moving,minfde_moving
0,k6w001,0,7e2f727866c69ea0,84,83,9.56551,19.01393,9.65722,19.21516,nan,3.51791,6.67085,3.53954,6.72764
0,k6w001,0,82f90331a1dfe968,99,98,4.70657,7.78290,4.73809,7.84415,nan,3.12418,4.87684,3.13955,4.90843
0,k6w001,1,7e2f727866c69ea0,84,83,9.61996,19.97977,9.71994,20.20285,nan,4.26961,7.79568,4.30513,7.87197
0,k6w001,1,82f90331a1dfe968,99,98,4.53056,8.01845,4.56478,8.08766,nan,3.37415,5.82542,3.39658,5.87225
0,k6w001,2,7e2f727866c69ea0,84,83,8.93364,17.98824,9.02715,18.19131,nan,3.06812,7.25909,3.09096,7.33289
0,k6w001,2,82f90331a1dfe968,99,98,4.44827,7.21318,4.48286,7.27682,nan,3.22613,4.63192,3.24826,4.66923
0,k6w001,3,7e2f727866c69ea0,84,83,8.34598,16.57148,8.42760,16.75193,nan,2.73670,3.08681,2.75074,3.10479
0,k6w001,3,82f90331a1dfe968,99,98,4.66953,8.05686,4.70219,8.12448,nan,3.51843,6.40696,3.53934,6.45775
0,k6w005,0,7e2f727866c69ea0,84,83,2.15451,4.48117,2.15491,4.51016,nan,2.02279,4.25417,2.02701,4.28226
0,k6w005,0,82f90331a1dfe968,99,98,4.20268,7.44012,4.22463,7.49596,nan,2.95615,5.01043,2.97038,5.04338
0,k6w005,1,7e2f727866c69ea0,84,83,2.23298,2.70523,2.23789,2.71706,nan,2.20969,2.70467,2.21433,2.71649
0,k6w005,1,82f90331a1dfe968,99,98,4.57428,8.53440,4.60360,8.60586,nan,3.75080,6.06206,3.77172,6.10829
0,k6w005,2,7e2f727866c69ea0,84,83,8.12683,16.49463,8.21017,16.67950,nan,1.49222,2.46657,1.49562,2.48243
0,k6w005,2,82f90331a1dfe968,99,98,4.61230,7.18342,4.64772,7.24609,nan,3.60657,5.20959,3.63172,5.25212
0,k6w005,3,7e2f727866c69ea0,84,83,3.50098,5.88395,3.51611,5.92498,nan,3.37195,5.70040,3.39516,5.75126
0,k6w005,3,82f90331a1dfe968,99,98,3.83299,6.68182,3.85077,6.72738,nan,2.81019,4.70096,2.82565,4.73600
0,k6w02,0,7e2f727866c69ea0,84,83,6.42065,11.82637,6.47006,11.93678,nan,2.69105,4.62068,2.70633,4.65956
0,k6w02,0,82f90331a1dfe968,99,98,4.18601,6.93334,4.20640,6.97913,nan,2.99631,4.36158,3.01306,4.39328
0,k6w02,1,7e2f727866c69ea0,84,83,2.05225,3.52213,2.06678,3.55602,nan,1.98564,3.28447,1.99936,3.31550
