fold,seed,arch,ade8,ade5,fde,acc,train_ade8,best_ep,held_out_scenes
0,0,wayformer,2.652172327041626,1.5456512928009034,4.743685293197632,1.0,8.345458030700684,1,2a81f5233075e987;41692b0ec7ff4123;8e0342468563ae5e;a20f67087b9a288;db4edc9bd0c9d18c
0,0,baseline,2.360444927215576,1.5000486612319945,3.8218684673309324,1.0,8.585400581359863,1,2a81f5233075e987;41692b0ec7ff4123;8e0342468563ae5e;a20f67087b9a288;db4edc9bd0c9d18c
0,1,wayformer,3.0244593143463137,1.7273996591567993,5.2250526428222654,1.0,8.586073875427246,1,2a81f5233075e987;41692b0ec7ff4123;8e0342468563ae5e;a20f67087b9a288;db4edc9bd0c9d18c
0,1,baseline,2.297604489326477,1.4456010580062866,3.807889151573181,1.0,8.53096866607666,1,2a81f5233075e987;41692b0ec7ff4123;8e0342468563ae5e;a20f67087b9a288;db4edc9bd0c9d18c
0,2,wayformer,2.184835195541382,1.1518414258956908,4.201137065887451,1.0,8.277078628540039,80,2a81f5233075e987;41692b0ec7ff4123;8e0342468563ae5e;a20f67087b9a288;db4edc9bd0c9d18c
0,2,baseline,2.366701292991638,1.5109856128692627,3.8665183782577515,1.0,8.587841987609863,1,2a81f5233075e987;41692b0ec7ff4123;8e0342468563ae5e;a20f67087b9a288;db4edc9bd0c9d18c
1,0,wayformer,4.681194210052491,2.5765881061553957,9.608495235443115,1.0,9.28697395324707,1,2e41fe6faf5cd2ea;4a2ef30000d19d90;92ab54c34f237728;aaccfa0a1132fb83;e52c6a9366981ad
1,0,baseline,4.156807279586792,2.318727970123291,8.80632791519165,1.0,6.058338642120361,40,2e41fe6faf5cd2ea;4a2ef30000d19d90;92ab54c34f237728;aaccfa0a1132fb83;e52c6a9366981ad
1,1,wayformer,3.8946948528289793,2.0082438707351686,8.753579807281493,1.0,8.203062057495117,40,2e41fe6faf5cd2ea;4a2ef30000d19d90;92ab54c34f237728;aaccfa0a1132fb83;e52c6a9366981ad
1,1,baseline,4.194451570510864,2.3494865894317627,9.040535259246827,1.0,8.568411827087402,1,2e41fe6faf5cd2ea;4a2ef30000d19d90;92ab54c34f237728;aaccfa0a1132fb83;e52c6a9366981ad
1,2,wayformer,3.851298999786377,2.0927812814712525,8.542257308959961,0.6439999759197235,8.42507553100586,100,2e41fe6faf5cd2ea;4a2ef30000d19d90;92ab54c34f237728;aaccfa0a1132fb83;e52c6a9366981ad
1,2,baseline,4.195763158798218,2.3478941440582277,9.038902282714844,1.0,8.61647891998291,1,2e41fe6faf5cd2ea;4a2ef30000d19d90;92ab54c34f237728;aaccfa0a1132fb83;e52c6a9366981ad
2,0,wayformer,4.569235146045685,2.105962908267975,8.60019211769104,1.0,8.295040130615234,20,367b072edc9822ea;4b60f9400a30ceaf;9e897ff552287bea;adce80bac21c1895;e75176fd226ea04a
