fold,variant,seed,scene,n_obj,n_moving,ade_all,fde_all,ade_moving,fde_moving,gate,minade_all,minfde_all,minade_moving,minfde_moving,n_veh,ade_veh,fde_veh,minade_veh,minfde_veh
0,gated_dens,0,7e2f727866c69ea0,84,83,3.47551,7.94108,3.49696,8.01332,-0.00051,3.47551,7.94108,3.49696,8.01332,84,3.47551,7.94108,3.47551,7.94108
0,gated_dens,0,82f90331a1dfe968,99,98,2.70416,4.57039,2.71735,4.60171,-0.00051,2.70416,4.57039,2.71735,4.60171,99,2.70416,4.57039,2.70416,4.57039
0,gated_dens,1,7e2f727866c69ea0,84,83,5.39063,10.99412,5.43302,11.10176,0.00076,5.39063,10.99412,5.43302,11.10176,84,5.39063,10.99412,5.39063,10.99412
0,gated_dens,1,82f90331a1dfe968,99,98,3.85443,6.44304,3.87706,6.49097,0.00076,3.85443,6.44304,3.87706,6.49097,99,3.85443,6.44304,3.85443,6.44304
0,gated_dens,2,7e2f727866c69ea0,84,83,7.42010,15.73756,7.48298,15.89338,0.00085,7.42010,15.73756,7.48298,15.89338,84,7.42010,15.73756,7.42010,15.73756
0,gated_dens,2,82f90331a1dfe968,99,98,3.92697,6.51397,3.94776,6.55670,0.00085,3.92697,6.51397,3.94776,6.55670,99,3.92697,6.51397,3.92697,6.51397
0,gated_dens,3,7e2f727866c69ea0,84,83,5.84133,11.91871,5.87138,12.00390,-0.00120,5.84133,11.91871,5.87138,12.00390,84,5.84133,11.91871,5.84133,11.91871
0,gated_dens,3,82f90331a1dfe968,99,98,3.47112,5.76376,3.47816,5.78319,-0.00120,3.47112,5.76376,3.47816,5.78319,99,3.47112,5.76376,3.47112,5.76376
0,gated_dens,4,7e2f727866c69ea0,84,83,4.99908,10.87030,5.04243,10.97830,0.00253,4.99908,10.87030,5.04243,10.97830,84,4.99908,10.87030,4.99908,10.87030
0,gated_dens,4,82f90331a1dfe968,99,98,3.22339,5.98275,3.23909,6.01766,0.00253,3.22339,5.98275,3.23909,6.01766,99,3.22339,5.98275,3.22339,5.98275
0,gated_dens,5,7e2f727866c69ea0,84,83,3.14290,7.17685,3.14981,7.21966,0.00025,3.14290,7.17685,3.14981,7.21966,84,3.14290,7.17685,3.14290,7.17685
0,gated_dens,5,82f90331a1dfe968,99,98,3.79388,6.66502,3.80786,6.69839,0.00025,3.79388,6.66502,3.80786,6.69839,99,3.79388,6.66502,3.79388,6.66502
0,gated_dens,6,7e2f727866c69ea0,84,83,4.39297,9.02092,4.40387,9.06935,0.00029,4.39297,9.02092,4.40387,9.06935,84,4.39297,9.02092,4.39297,9.02092
0,gated_dens,6,82f90331a1dfe968,99,98,3.22466,5.55505,3.22573,5.56749,0.00029,3.22466,5.55505,3.22573,5.56749,99,3.22466,5.55505,3.22466,5.55505
0,gated_dens,7,7e2f727866c69ea0,84,83,5.16845,10.81604,5.20094,10.90842,-0.00157,5.16845,10.81604,5.20094,10.90842,84,5.16845,10.81604,5.16845,10.81604
0,gated_dens,7,82f90331a1dfe968,99,98,3.33153,5.83668,3.34240,5.86744,-0.00157,3.33153,5.83668,3.34240,5.86744,99,3.33153,5.83668,3.33153,5.83668
1,gated_dens,0,2a81f5233075e987,273,272,1.80861,2.44008,1.80628,2.43725,0.00429,1.80861,2.44008,1.80628,2.43725,189,1.73653,2.36701,1.73653,2.36701
1,gated_dens,0,4014ae5bcda2726f,144,143,4.47849,8.39871,4.49215,8.43428,0.00429,4.47849,8.39871,4.49215,8.43428,123,4.71138,8.91017,4.71138,8.91017
1,gated_dens,1,2a81f5233075e987,273,272,1.15799,2.08058,1.15675,2.08316,0.00264,1.15799,2.08058,1.15675,2.08316,189,1.24886,2.21145,1.24886,2.21145
