fold,variant,seed,scene,n_obj,n_moving,ade_all,fde_all,ade_moving,fde_moving
0,baseline,0,7e2f727866c69ea0,33,33,1.94898,2.27997,1.94898,2.27997
0,baseline,0,82f90331a1dfe968,18,18,1.35044,1.51427,1.35044,1.51427
0,gate0,0,7e2f727866c69ea0,33,33,2.02240,2.34277,2.02240,2.34277
0,gate0,0,82f90331a1dfe968,18,18,1.38709,1.48408,1.38709,1.48408
0,gated,0,7e2f727866c69ea0,33,33,1.77191,2.20231,1.77191,2.20231
0,gated,0,82f90331a1dfe968,18,18,1.61098,1.88219,1.61098,1.88219
0,baseline,1,7e2f727866c69ea0,33,33,1.82579,2.28040,1.82579,2.28040
0,baseline,1,82f90331a1dfe968,18,18,1.00090,1.14652,1.00090,1.14652
0,gate0,1,7e2f727866c69ea0,33,33,2.05457,2.59020,2.05457,2.59020
0,gate0,1,82f90331a1dfe968,18,18,1.51925,1.76586,1.51925,1.76586
0,gated,1,7e2f727866c69ea0,33,33,1.98720,2.18133,1.98720,2.18133
0,gated,1,82f90331a1dfe968,18,18,1.57802,1.92193,1.57802,1.92193
0,baseline,2,7e2f727866c69ea0,33,33,2.08862,2.59133,2.08862,2.59133
0,baseline,2,82f90331a1dfe968,18,18,1.45239,1.48424,1.45239,1.48424
0,gate0,2,7e2f727866c69ea0,33,33,2.02615,2.44119,2.02615,2.44119
0,gate0,2,82f90331a1dfe968,18,18,1.31917,1.43770,1.31917,1.43770
0,gated,2,7e2f727866c69ea0,33,33,1.53214,1.81818,1.53214,1.81818
0,gated,2,82f90331a1dfe968,18,18,1.21332,1.54622,1.21332,1.54622
0,baseline,3,7e2f727866c69ea0,33,33,1.93913,2.60216,1.93913,2.60216
0,baseline,3,82f90331a1dfe968,18,18,1.17312,1.48973,1.17312,1.48973
0,gate0,3,7e2f727866c69ea0,33,33,2.34295,3.01634,2.34295,3.01634
0,gate0,3,82f90331a1dfe968,18,18,1.36681,1.57802,1.36681,1.57802
0,gated,3,7e2f727866c69ea0,33,33,1.40050,1.89206,1.40050,1.89206
0,gated,3,82f90331a1dfe968,18,18,1.51748,2.21529,1.51748,2.21529
0,baseline,4,7e2f727866c69ea0,33,33,2.24596,2.97593,2.24596,2.97593
0,baseline,4,82f90331a1dfe968,18,18,1.21987,1.49063,1.21987,1.49063
0,gate0,4,7e2f727866c69ea0,33,33,2.47219,3.24854,2.47219,3.24854
0,gate0,4,82f90331a1dfe968,18,18,1.22981,1.43629,1.22981,1.43629
0,gated,4,7e2f727866c69ea0,33,33,1.56002,2.07464,1.56002,2.07464
0,gated,4,82f90331a1dfe968,18,18,1.37957,1.75964,1.37957,1.75964
0,baseline,5,7e2f727866c69ea0,33,33,1.91537,2.50161,1.91537,2.50161
0,baseline,5,82f90331a1dfe968,18,18,1.42454,1.77744,1.42454,1.77744
0,gate0,5,7e2f727866c69ea0,33,33,2.08573,2.80030,2.08573,2.80030
0,gate0,5,82f90331a1dfe968,18,18,1.32566,1.50459,1.32566,1.50459
0,gated,5,7e2f727866c69ea0,33,33,1.39758,1.73701,1.39758,1.73701
0,gated,5,82f90331a1dfe968,18,18,1.71021,2.45503,1.71021,2.45503
0,baseline,6,7e2f727866c69ea0,33,33,1.84334,2.45608,1.84334,2.45608
0,baseline,6,82f90331a1dfe968,18,18,1.10109,1.22590,1.10109,1.22590
0,gate0,6,7e2f727866c69ea0,33,33,2.04095,2.62442,2.04095,2.62442
0,gate0,6,82f90331a1dfe968,18,18,1.17786,1.28545,1.17786,1.28545
0,gated,6,7e2f727866c69ea0,33,33,2.07816,2.29915,2.07816,2.29915
0,gated,6,82f90331a1dfe968,18,18,0.98629,1.37667,0.98629,1.37667
0,baseline,7,7e2f727866c69ea0,33,33,2.51784,2.93712,2.51784,2.93712
0,baseline,7,82f90331a1dfe968,18,18,1.56841,1.88668,1.56841,1.88668
0,gate0,7,7e2f727866c69ea0,33,33,2.68846,3.31179,2.68846,3.31179
0,gate0,7,82f90331a1dfe968,18,18,1.64832,2.05984,1.64832,2.05984
0,gated,7,7e2f727866c69ea0,33,33,2.98265,4.08112,2.98265,4.08112
0,gated,7,82f90331a1dfe968,18,18,1.27996,1.69602,1.27996,1.69602
