variant,seed,scene,n_obj,n_moving,ade_all,fde_all,ade_moving,fde_moving
baseline,0,7e2f727866c69ea0,33,33,1.94898,2.27997,1.94898,2.27997
baseline,0,82f90331a1dfe968,18,18,1.35044,1.51427,1.35044,1.51427
gate0,0,7e2f727866c69ea0,33,33,2.02240,2.34277,2.02240,2.34277
gate0,0,82f90331a1dfe968,18,18,1.38709,1.48408,1.38709,1.48408
gated,0,7e2f727866c69ea0,33,33,1.35105,1.91203,1.35105,1.91203
gated,0,82f90331a1dfe968,18,18,1.11522,1.52898,1.11522,1.52898
baseline,1,7e2f727866c69ea0,33,33,1.82579,2.28040,1.82579,2.28040
baseline,1,82f90331a1dfe968,18,18,1.00090,1.14652,1.00090,1.14652
gate0,1,7e2f727866c69ea0,33,33,2.05457,2.59020,2.05457,2.59020
gate0,1,82f90331a1dfe968,18,18,1.51925,1.76586,1.51925,1.76586
gated,1,7e2f727866c69ea0,33,33,1.68776,1.99317,1.68776,1.99317
gated,1,82f90331a1dfe968,18,18,1.33339,1.45275,1.33339,1.45275
baseline,2,7e2f727866c69ea0,33,33,2.08862,2.59133,2.08862,2.59133
baseline,2,82f90331a1dfe968,18,18,1.45239,1.48424,1.45239,1.48424
gate0,2,7e2f727866c69ea0,33,33,2.02615,2.44119,2.02615,2.44119
gate0,2,82f90331a1dfe968,18,18,1.31917,1.43770,1.31917,1.43770
gated,2,7e2f727866c69ea0,33,33,1.40794,1.57663,1.40794,1.57663
gated,2,82f90331a1dfe968,18,18,1.30727,1.25228,1.30727,1.25228
baseline,3,7e2f727866c69ea0,33,33,1.93913,2.60216,1.93913,2.60216
baseline,3,82f90331a1dfe968,18,18,1.17312,1.48973,1.17312,1.48973
gate0,3,7e2f727866c69ea0,33,33,2.34295,3.01634,2.34295,3.01634
gate0,3,82f90331a1dfe968,18,18,1.36681,1.57802,1.36681,1.57802
gated,3,7e2f727866c69ea0,33,33,1.15190,1.58080,1.15190,1.58080
gated,3,82f90331a1dfe968,18,18,1.12022,1.60705,1.12022,1.60705
baseline,4,7e2f727866c69ea0,33,33,2.24596,2.97593,2.24596,2.97593
baseline,4,82f90331a1dfe968,18,18,1.21987,1.49063,1.21987,1.49063
gate0,4,7e2f727866c69ea0,33,33,2.47219,3.24854,2.47219,3.24854
gate0,4,82f90331a1dfe968,18,18,1.22981,1.43629,1.22981,1.43629
gated,4,7e2f727866c69ea0,33,33,1.52603,2.04561,1.52603,2.04561
gated,4,82f90331a1dfe968,18,18,1.18599,1.51990,1.18599,1.51990
baseline,5,7e2f727866c69ea0,33,33,1.91537,2.50161,1.91537,2.50161
baseline,5,82f90331a1dfe968,18,18,1.42454,1.77744,1.42454,1.77744
gate0,5,7e2f727866c69ea0,33,33,2.08573,2.80030,2.08573,2.80030
gate0,5,82f90331a1dfe968,18,18,1.32566,1.50459,1.32566,1.50459
gated,5,7e2f727866c69ea0,33,33,1.51175,1.76624,1.51175,1.76624
gated,5,82f90331a1dfe968,18,18,1.27999,1.52949,1.27999,1.52949
baseline,6,7e2f727866c69ea0,33,33,1.84334,2.45608,1.84334,2.45608
baseline,6,82f90331a1dfe968,18,18,1.10109,1.22590,1.10109,1.22590
gate0,6,7e2f727866c69ea0,33,33,2.04095,2.62442,2.04095,2.62442
gate0,6,82f90331a1dfe968,18,18,1.17786,1.28545,1.17786,1.28545
gated,6,7e2f727866c69ea0,33,33,1.45492,1.92046,1.45492,1.92046
gated,6,82f90331a1dfe968,18,18,1.27642,1.70783,1.27642,1.70783
baseline,7,7e2f727866c69ea0,33,33,2.51784,2.93712,2.51784,2.93712
baseline,7,82f90331a1dfe968,18,18,1.56841,1.88668,1.56841,1.88668
gate0,7,7e2f727866c69ea0,33,33,2.68846,3.31179,2.68846,3.31179
gate0,7,82f90331a1dfe968,18,18,1.64832,2.05984,1.64832,2.05984
gated,7,7e2f727866c69ea0,33,33,2.17565,2.91631,2.17565,2.91631
gated,7,82f90331a1dfe968,18,18,1.46308,2.06863,1.46308,2.06863
