fold,variant,seed,scene,n_obj,n_moving,ade_all,fde_all,ade_moving,fde_moving,gate,minade_all,minfde_all,minade_moving,minfde_moving,n_veh,ade_veh,fde_veh,minade_veh,minfde_veh
0,ft0chk,0,7e2f727866c69ea0,84,83,4.68091,10.24308,4.71632,10.33961,0.10941,4.68091,10.24308,4.71632,10.33961,84,4.68091,10.24308,4.68091,10.24308
0,ft0chk,0,82f90331a1dfe968,99,98,2.90952,4.60411,2.92130,4.62865,0.10941,2.90952,4.60411,2.92130,4.62865,99,2.90952,4.60411,2.90952,4.60411
0,ft0,0,7e2f727866c69ea0,84,83,4.68091,10.24308,4.71632,10.33961,0.10941,4.68091,10.24308,4.71632,10.33961,84,4.68091,10.24308,4.68091,10.24308
0,ft0,0,82f90331a1dfe968,99,98,2.90952,4.60411,2.92130,4.62865,0.10941,2.90952,4.60411,2.92130,4.62865,99,2.90952,4.60411,2.90952,4.60411
0,ft4,0,7e2f727866c69ea0,84,83,4.89133,10.78852,4.92771,10.88937,0.16328,4.89133,10.78852,4.92771,10.88937,84,4.89133,10.78852,4.89133,10.78852
0,ft4,0,82f90331a1dfe968,99,98,2.75370,4.36233,2.76097,4.37972,0.16328,2.75370,4.36233,2.76097,4.37972,99,2.75370,4.36233,2.75370,4.36233
0,ft4lr,0,7e2f727866c69ea0,84,83,4.74411,10.56425,4.78046,10.66496,0.11786,4.74411,10.56425,4.78046,10.66496,84,4.74411,10.56425,4.74411,10.56425
0,ft4lr,0,82f90331a1dfe968,99,98,2.88427,4.57717,2.89612,4.60249,0.11786,2.88427,4.57717,2.89612,4.60249,99,2.88427,4.57717,2.88427,4.57717
0,ft0,1,7e2f727866c69ea0,84,83,8.52320,16.42782,8.59978,16.59419,0.17852,8.52320,16.42782,8.59978,16.59419,84,8.52320,16.42782,8.52320,16.42782
0,ft0,1,82f90331a1dfe968,99,98,4.77153,7.65775,4.80151,7.71567,0.17852,4.77153,7.65775,4.80151,7.71567,99,4.77153,7.65775,4.77153,7.65775
0,ft4,1,7e2f727866c69ea0,84,83,8.03376,15.78566,8.10718,15.94920,0.14852,8.03376,15.78566,8.10718,15.94920,84,8.03376,15.78566,8.03376,15.78566
