fold,variant,seed,scene,n_obj,n_moving,ade_all,fde_all,ade_moving,fde_moving,gate
0,gated005,0,7e2f727866c69ea0,84,83,3.84311,8.55993,3.86305,8.62799,0.00253
0,gated005,0,82f90331a1dfe968,99,98,3.17708,5.61458,3.18881,5.64441,0.00253
0,gated005,1,7e2f727866c69ea0,84,83,6.08125,12.68561,6.12940,12.80665,0.00285
0,gated005,1,82f90331a1dfe968,99,98,3.62947,6.51560,3.65012,6.56421,0.00285
0,gated005,2,7e2f727866c69ea0,84,83,7.40430,15.76424,7.46081,15.90869,-0.00678
0,gated005,2,82f90331a1dfe968,99,98,3.95143,6.64093,3.96380,6.66934,-0.00678
0,gated005,3,7e2f727866c69ea0,84,83,6.74697,13.41388,6.78677,13.51508,0.00245
0,gated005,3,82f90331a1dfe968,99,98,4.04088,7.00319,4.05197,7.03228,0.00245
0,gated005,4,7e2f727866c69ea0,84,83,5.26714,11.21032,5.31358,11.32182,0.00395
0,gated005,4,82f90331a1dfe968,99,98,3.92193,7.08785,3.94338,7.13186,0.00395
0,gated005,5,7e2f727866c69ea0,84,83,3.32081,7.65684,3.32773,7.70060,0.00125
0,gated005,5,82f90331a1dfe968,99,98,3.68306,6.89021,3.69468,6.92331,0.00125
0,gated005,6,7e2f727866c69ea0,84,83,5.02839,10.26826,5.04732,10.33224,0.00292
0,gated005,6,82f90331a1dfe968,99,98,3.40063,5.92766,3.40377,5.94423,0.00292
0,gated005,7,7e2f727866c69ea0,84,83,6.96209,14.13459,7.02207,14.27585,0.00492
0,gated005,7,82f90331a1dfe968,99,98,4.14524,7.44650,4.17252,7.50735,0.00492
1,gated005,0,2a81f5233075e987,273,272,2.83673,4.10898,2.83675,4.10983,0.00373
1,gated005,0,4014ae5bcda2726f,144,143,4.59429,8.60614,4.60909,8.64352,0.00373
1,gated005,1,2a81f5233075e987,273,272,1.25127,2.49611,1.25062,2.50001,0.00505
1,gated005,1,4014ae5bcda2726f,144,143,2.66002,5.10701,2.66733,5.13151,0.00505
1,gated005,2,2a81f5233075e987,273,272,1.74496,2.42740,1.74428,2.42767,0.00599
1,gated005,2,4014ae5bcda2726f,144,143,1.96557,3.80916,1.97232,3.82230,0.00599
1,gated005,3,2a81f5233075e987,273,272,2.27656,3.51483,2.27730,3.51775,0.00605
1,gated005,3,4014ae5bcda2726f,144,143,3.67386,7.09509,3.68422,7.12453,0.00605
1,gated005,4,2a81f5233075e987,273,272,1.00092,1.77393,1.00162,1.77869,0.00287
1,gated005,4,4014ae5bcda2726f,144,143,2.77786,5.58448,2.79275,5.61735,0.00287
1,gated005,5,2a81f5233075e987,273,272,1.60262,2.25629,1.59850,2.25214,0.00547
1,gated005,5,4014ae5bcda2726f,144,143,3.23464,6.22605,3.24106,6.25121,0.00547
1,gated005,6,2a81f5233075e987,273,272,2.33695,3.42943,2.33545,3.42793,0.00556
1,gated005,6,4014ae5bcda2726f,144,143,2.75269,5.38036,2.76098,5.40756,0.00556
1,gated005,7,2a81f5233075e987,273,272,2.47262,3.42134,2.46932,3.41708,0.00559
1,gated005,7,4014ae5bcda2726f,144,143,3.85698,7.16634,3.87384,7.20763,0.00559
2,gated005,0,2e41fe6faf5cd2ea,210,183,1.54362,3.05661,1.63316,3.32429,0.00550
2,gated005,0,41692b0ec7ff4123,105,104,6.24380,21.32962,6.29611,21.52428,0.00550
2,gated005,1,2e41fe6faf5cd2ea,210,183,3.29050,5.27596,3.38061,5.54559,0.00420
2,gated005,1,41692b0ec7ff4123,105,104,7.30330,22.11364,7.34770,22.29407,0.00420
2,gated005,2,2e41fe6faf5cd2ea,210,183,1.93420,3.49443,1.99975,3.75785,0.00599
2,gated005,2,41692b0ec7ff4123,105,104,6.44930,21.52421,6.49745,21.71644,0.00599
2,gated005,3,2e41fe6faf5cd2ea,210,183,3.02462,4.96124,3.07404,5.20367,0.00471
2,gated005,3,41692b0ec7ff4123,105,104,7.43684,22.31513,7.48286,22.49964,0.00471
2,gated005,4,2e41fe6faf5cd2ea,210,183,2.48394,4.47001,2.55395,4.72548,0.00497
2,gated005,4,41692b0ec7ff4123,105,104,6.83091,21.89387,6.87671,22.07760,0.00497
2,gated005,5,2e41fe6faf5cd2ea,210,183,1.79724,3.40932,1.88422,3.70573,0.00528
2,gated005,5,41692b0ec7ff4123,105,104,6.64890,21.81284,6.70130,22.00924,0.00528
2,gated005,6,2e41fe6faf5cd2ea,210,183,3.00183,4.92782,3.12175,5.26664,0.00659
2,gated005,6,41692b0ec7ff4123,105,104,7.32806,22.33071,7.37211,22.51246,0.00659
2,gated005,7,2e41fe6faf5cd2ea,210,183,1.63748,3.15933,1.70725,3.42256,0.00232
2,gated005,7,41692b0ec7ff4123,105,104,6.54410,21.87152,6.59743,22.07184,0.00232
3,gated005,0,367b072edc9822ea,36,35,5.34156,11.04487,5.41039,11.24072,0.00589
3,gated005,0,4a2ef30000d19d90,144,143,1.69331,2.48786,1.68885,2.48369,0.00589
3,gated005,1,367b072edc9822ea,36,35,5.18466,11.24597,5.27887,11.49245,0.00597
3,gated005,1,4a2ef30000d19d90,144,143,1.55503,3.25074,1.55381,3.25741,0.00597
3,gated005,2,367b072edc9822ea,36,35,3.22012,7.47174,3.26700,7.62983,0.00377
3,gated005,2,4a2ef30000d19d90,144,143,1.56378,3.34202,1.56374,3.35188,0.00377
3,gated005,3,367b072edc9822ea,36,35,5.64567,11.88216,5.76049,12.16419,0.00610
3,gated005,3,4a2ef30000d19d90,144,143,1.51510,3.15207,1.51329,3.15918,0.00610
3,gated005,4,367b072edc9822ea,36,35,4.61052,10.13274,4.66070,10.30388,0.00406
3,gated005,4,4a2ef30000d19d90,144,143,1.34052,2.20536,1.33383,2.19867,0.00406
3,gated005,5,367b072edc9822ea,36,35,4.53661,9.66733,4.61868,9.89252,0.00622
3,gated005,5,4a2ef30000d19d90,144,143,1.40727,2.82954,1.40549,2.83676,0.00622
3,gated005,6,367b072edc9822ea,36,35,5.37631,11.25936,5.46058,11.48806,0.00362
3,gated005,6,4a2ef30000d19d90,144,143,1.44966,2.03189,1.44347,2.02453,0.00362
3,gated005,7,367b072edc9822ea,36,35,5.16306,10.58877,5.24749,10.81177,0.00532
3,gated005,7,4a2ef30000d19d90,144,143,1.56470,2.78639,1.56616,2.79657,0.00532
4,gated005,0,394e61f27c2a1700,435,434,1.33588,1.10817,1.33415,1.10469,0.00464
4,gated005,0,4b60f9400a30ceaf,194,193,4.68516,11.20061,4.69832,11.24461,0.00464
4,gated005,1,394e61f27c2a1700,435,434,0.83717,1.59295,0.83363,1.58978,0.00194
