fold,variant,seed,scene,n_obj,n_moving,ade_all,fde_all,ade_moving,fde_moving,gate
0,baseline,0,7e2f727866c69ea0,200,199,5.08565,10.88649,5.10604,10.93641,nan
0,baseline,0,82f90331a1dfe968,119,118,3.35741,6.61857,3.37785,6.66755,nan
0,gate0,0,7e2f727866c69ea0,200,199,4.12181,9.10754,4.13897,9.15104,0.00000
0,gate0,0,82f90331a1dfe968,119,118,3.08640,5.84456,3.10716,5.89042,0.00000
0,gated,0,7e2f727866c69ea0,200,199,5.00997,11.06481,5.02766,11.11256,0.07094
0,gated,0,82f90331a1dfe968,119,118,3.59437,6.52195,3.60939,6.55881,0.07094
0,baseline,1,7e2f727866c69ea0,200,199,5.23837,10.65109,5.25548,10.69421,nan
0,baseline,1,82f90331a1dfe968,119,118,3.41629,6.39959,3.43110,6.43874,nan
0,gate0,1,7e2f727866c69ea0,200,199,4.49058,9.29350,4.50452,9.33051,0.00000
0,gate0,1,82f90331a1dfe968,119,118,3.69387,6.49420,3.71202,6.53532,0.00000
0,gated,1,7e2f727866c69ea0,200,199,5.03168,10.53562,5.04722,10.57636,0.09932
0,gated,1,82f90331a1dfe968,119,118,3.38967,6.75808,3.40435,6.79974,0.09932
0,baseline,2,7e2f727866c69ea0,200,199,6.76876,13.40650,6.79242,13.46149,nan
0,baseline,2,82f90331a1dfe968,119,118,3.11445,5.48755,3.12455,5.51524,nan
0,gate0,2,7e2f727866c69ea0,200,199,6.00888,12.07226,6.02824,12.11966,0.00000
0,gate0,2,82f90331a1dfe968,119,118,3.17887,5.15552,3.18879,5.17892,0.00000
0,gated,2,7e2f727866c69ea0,200,199,6.30688,12.21558,6.32704,12.26246,0.06695
0,gated,2,82f90331a1dfe968,119,118,3.50788,5.61698,3.51730,5.63863,0.06695
0,baseline,3,7e2f727866c69ea0,200,199,4.91388,11.18161,4.93176,11.23149,nan
0,baseline,3,82f90331a1dfe968,119,118,2.51998,4.98859,2.53127,5.02287,nan
0,gate0,3,7e2f727866c69ea0,200,199,4.14929,9.03247,4.16325,9.07112,0.00000
0,gate0,3,82f90331a1dfe968,119,118,2.65646,5.35546,2.66913,5.39266,0.00000
0,gated,3,7e2f727866c69ea0,200,199,5.00119,11.05836,5.01633,11.10212,0.03630
0,gated,3,82f90331a1dfe968,119,118,2.70618,4.88288,2.71239,4.90454,0.03630
0,baseline,4,7e2f727866c69ea0,200,199,7.03971,13.95464,7.06358,14.01017,nan
0,baseline,4,82f90331a1dfe968,119,118,2.96585,5.89164,2.97275,5.91888,nan
0,gate0,4,7e2f727866c69ea0,200,199,5.52851,11.05156,5.54720,11.09632,0.00000
0,gate0,4,82f90331a1dfe968,119,118,2.86895,5.56178,2.87951,5.59338,0.00000
0,gated,4,7e2f727866c69ea0,200,199,6.36532,12.70455,6.38859,12.75868,0.10564
0,gated,4,82f90331a1dfe968,119,118,3.68221,6.28730,3.69942,6.32533,0.10564
0,baseline,5,7e2f727866c69ea0,200,199,11.63124,23.22159,11.67999,23.32552,nan
0,baseline,5,82f90331a1dfe968,119,118,3.27164,5.28628,3.28404,5.31112,nan
0,gate0,5,7e2f727866c69ea0,200,199,9.51305,19.50905,9.55219,19.59596,0.00000
0,gate0,5,82f90331a1dfe968,119,118,3.40744,5.55793,3.42310,5.58852,0.00000
0,gated,5,7e2f727866c69ea0,200,199,7.34733,15.77782,7.37906,15.85245,0.08028
0,gated,5,82f90331a1dfe968,119,118,2.85696,4.69660,2.87152,4.72725,0.08028
0,baseline,6,7e2f727866c69ea0,200,199,8.54284,17.40154,8.57801,17.47915,nan
0,baseline,6,82f90331a1dfe968,119,118,3.05383,5.36109,3.06717,5.39078,nan
0,gate0,6,7e2f727866c69ea0,200,199,7.72461,16.08000,7.75601,16.15176,0.00000
0,gate0,6,82f90331a1dfe968,119,118,3.12222,5.20396,3.13658,5.23298,0.00000
0,gated,6,7e2f727866c69ea0,200,199,8.02277,16.33615,8.05382,16.40725,0.04926
0,gated,6,82f90331a1dfe968,119,118,3.48461,5.38313,3.49846,5.41009,0.04926
0,baseline,7,7e2f727866c69ea0,200,199,6.97495,14.57800,7.00581,14.64343,nan
0,baseline,7,82f90331a1dfe968,119,118,3.29341,5.55281,3.31341,5.58502,nan
0,gate0,7,7e2f727866c69ea0,200,199,6.23825,12.97427,6.26499,13.03115,0.00000
0,gate0,7,82f90331a1dfe968,119,118,3.26818,5.51628,3.28708,5.54701,0.00000
0,gated,7,7e2f727866c69ea0,200,199,7.62083,16.01342,7.65185,16.08662,0.06503
0,gated,7,82f90331a1dfe968,119,118,3.44541,5.09519,3.46188,5.12521,0.06503
