fold,variant,seed,scene,n_obj,n_moving,ade_all,fde_all,ade_moving,fde_moving,gate
0,base11,0,7e2f727866c69ea0,10,9,4.09982,8.40618,4.37423,9.10332,nan
0,base11,0,82f90331a1dfe968,14,13,8.01472,18.30987,8.51438,19.57976,nan
0,base5,0,7e2f727866c69ea0,10,9,3.83638,8.11514,4.06449,8.78071,nan
0,base5,0,82f90331a1dfe968,14,13,2.00793,2.35641,2.04421,2.40660,nan
0,base11,1,7e2f727866c69ea0,10,9,2.17935,4.24476,2.27124,4.56043,nan
0,base11,1,82f90331a1dfe968,14,13,6.66141,16.34548,7.08055,17.52359,nan
0,base5,1,7e2f727866c69ea0,10,9,5.67231,10.81577,6.04362,11.70077,nan
0,base5,1,82f90331a1dfe968,14,13,3.46923,4.50989,3.57531,4.66910,nan
0,base11,2,7e2f727866c69ea0,10,9,3.39697,6.26212,3.68407,6.89237,nan
0,base11,2,82f90331a1dfe968,14,13,7.66748,18.64625,8.19865,20.05197,nan
0,base5,2,7e2f727866c69ea0,10,9,6.72007,13.50597,7.25544,14.75386,nan
0,base5,2,82f90331a1dfe968,14,13,3.70200,5.47460,3.85687,5.74395,nan
0,base11,3,7e2f727866c69ea0,10,9,2.53741,3.87640,2.72695,4.22521,nan
0,base11,3,82f90331a1dfe968,14,13,4.88624,11.84306,5.20587,12.69008,nan
0,base5,3,7e2f727866c69ea0,10,9,4.84705,10.32974,5.11284,11.10538,nan
0,base5,3,82f90331a1dfe968,14,13,2.49615,3.95324,2.52528,4.03988,nan
0,base11,4,7e2f727866c69ea0,10,9,3.96071,6.89767,4.20018,7.43274,nan
0,base11,4,82f90331a1dfe968,14,13,5.26805,10.89015,5.54254,11.58860,nan
0,base5,4,7e2f727866c69ea0,10,9,4.60939,10.14136,5.02141,11.14237,nan
0,base5,4,82f90331a1dfe968,14,13,2.00393,3.43116,2.06976,3.56239,nan
0,base11,5,7e2f727866c69ea0,10,9,2.67855,4.87326,2.73797,5.01845,nan
0,base11,5,82f90331a1dfe968,14,13,6.42410,14.04717,6.76559,14.88366,nan
0,base5,5,7e2f727866c69ea0,10,9,4.60192,10.15471,4.97773,11.14786,nan
0,base5,5,82f90331a1dfe968,14,13,3.09757,4.88351,3.26469,5.20668,nan
0,base11,6,7e2f727866c69ea0,10,9,2.98612,5.25496,3.13536,5.60162,nan
0,base11,6,82f90331a1dfe968,14,13,7.53599,17.15301,7.98903,18.30212,nan
0,base5,6,7e2f727866c69ea0,10,9,4.14260,8.53525,4.22079,8.93308,nan
0,base5,6,82f90331a1dfe968,14,13,2.56461,3.61283,2.51379,3.53931,nan
0,base11,7,7e2f727866c69ea0,10,9,2.75360,5.24738,2.85853,5.59711,nan
0,base11,7,82f90331a1dfe968,14,13,6.88731,16.39979,7.28949,17.53116,nan
0,base5,7,7e2f727866c69ea0,10,9,5.33630,10.73307,5.72473,11.68977,nan
0,base5,7,82f90331a1dfe968,14,13,3.00705,4.74745,3.11970,4.99133,nan
1,base11,0,2a81f5233075e987,39,38,2.60323,6.23515,2.63978,6.38122,nan
