fold,seed,arch,horizon_s,n_wp,ade,fde,acc,best_ep
2,0,wayformer_h3s,3s,6,1.1002650916576386,1.963149333000183,1.0,100
2,0,baseline_h3s,3s,6,1.103863686323166,1.8536099076271058,1.0,1
2,1,wayformer_h3s,3s,6,1.1200541019439698,2.035023808479309,1.0,20
2,1,baseline_h3s,3s,6,1.0839030683040618,1.8862512588500977,1.0,1
2,2,wayformer_h3s,3s,6,1.108514416217804,2.0486199140548704,1.0,20
2,2,baseline_h3s,3s,6,1.072369509935379,1.7953291893005372,1.0,1
2,3,wayformer_h3s,3s,6,1.3120882868766786,1.9951339840888977,1.0,1
2,3,baseline_h3s,3s,6,1.0704041302204133,1.8718109250068664,1.0,1
2,4,wayformer_h3s,3s,6,1.062635588645935,1.9994948863983155,1.0,20
2,4,baseline_h3s,3s,6,1.0461206138134003,1.8272136449813843,1.0,1
2,5,wayformer_h3s,3s,6,1.2103920578956604,1.8771722674369813,1.0,1
2,5,baseline_h3s,3s,6,1.0692500948905945,1.7990700364112855,1.0,1
2,6,wayformer_h3s,3s,6,1.1818929076194764,2.1614497423172,1.0,20
2,6,baseline_h3s,3s,6,1.111846923828125,1.843719244003296,1.0,1
2,7,wayformer_h3s,3s,6,1.246816599369049,2.221539783477783,1.0,100
2,7,baseline_h3s,3s,6,1.0995825290679933,1.9161863207817078,1.0,1
2,0,wayformer_gated_h3s,3s,6,1.209505546092987,1.855087161064148,1.0,1
2,1,wayformer_gated_h3s,3s,6,1.2632198214530945,2.173153817653656,1.0,40
2,2,wayformer_gated_h3s,3s,6,1.2446837663650512,2.303591728210449,1.0,60
2,3,wayformer_gated_h3s,3s,6,1.3423903107643127,2.003247559070587,1.0,1
2,4,wayformer_gated_h3s,3s,6,1.1636924505233766,2.1115144968032835,1.0,100
2,5,wayformer_gated_h3s,3s,6,1.211660921573639,1.8316866517066956,1.0,1
2,6,wayformer_gated_h3s,3s,6,1.2325442552566528,1.845847237110138,1.0,1
2,7,wayformer_gated_h3s,3s,6,1.291582453250885,1.9453754544258117,1.0,1
