fold,seed,arch,horizon_s,n_wp,ade,fde,acc,best_ep
0,0,wayformer_h1s,1s,2,0.39488651156425475,0.5467167437076569,1.0,20
0,0,baseline_h1s,1s,2,0.3183983892202377,0.4275868237018585,1.0,40
1,0,wayformer_h1s,1s,2,0.3824243187904358,0.5069205462932587,1.0,80
1,0,baseline_h1s,1s,2,0.4937493741512299,0.657674890756607,1.0,100
2,0,wayformer_h1s,1s,2,0.3594959318637848,0.47659688591957095,1.0,80
2,0,baseline_h1s,1s,2,0.3452967286109924,0.47081208825111387,1.0,100
3,0,wayformer_h1s,1s,2,0.8143654227256775,0.9772096157073975,1.0,1
3,0,baseline_h1s,1s,2,0.37653177678585054,0.5228509783744812,1.0,60
4,0,wayformer_h1s,1s,2,0.6323805689811707,0.8621562480926513,1.0,100
4,0,baseline_h1s,1s,2,0.690823620557785,0.9124428033828735,1.0,100
0,0,wayformer_h3s,3s,6,0.8780420064926148,1.3236636400222779,1.0,1
0,0,baseline_h3s,3s,6,0.9444472670555115,0.9377779304981232,1.0,1
1,0,wayformer_h3s,3s,6,1.162253487110138,2.1058258771896363,1.0,1
1,0,baseline_h3s,3s,6,1.3155543565750123,2.4410831451416017,1.0,20
2,0,wayformer_h3s,3s,6,1.2034369885921479,2.14617737531662,1.0,80
2,0,baseline_h3s,3s,6,1.103863686323166,1.8536099076271058,1.0,1
3,0,wayformer_h3s,3s,6,2.185043549537659,4.12173101902008,1.0,1
3,0,baseline_h3s,3s,6,1.3704437613487244,2.8267290115356447,1.0,60
4,0,wayformer_h3s,3s,6,1.665048712491989,3.2612688302993775,1.0,100
4,0,baseline_h3s,3s,6,1.8157652854919433,3.545882987976074,1.0,1
0,0,wayformer_h5s,5s,10,1.6436635971069335,3.542334461212158,1.0,20
0,0,baseline_h5s,5s,10,1.54978848695755,2.821609044075012,1.0,80
1,0,wayformer_h5s,5s,10,2.4763635635375976,5.270989418029785,1.0,20
1,0,baseline_h5s,5s,10,2.291636419296265,4.662448596954346,1.0,1
2,0,wayformer_h5s,5s,10,2.1343683123588564,3.9891537189483643,0.7719999790191651,60
2,0,baseline_h5s,5s,10,2.1694337368011474,3.9965116381645203,1.0,1
3,0,wayformer_h5s,5s,10,3.797250843048096,7.892588019371033,1.0,1
3,0,baseline_h5s,5s,10,3.265177381038666,7.287091612815857,1.0,80
4,0,wayformer_h5s,5s,10,3.1949904441833494,6.459386253356934,1.0,80
4,0,baseline_h5s,5s,10,3.170907974243164,6.56431565284729,1.0,1
0,0,wayformer_h8s,8s,16,2.4364543676376345,5.1385527610778805,1.0,60
0,0,baseline_h8s,8s,16,2.360444927215576,3.8218684673309324,1.0,1
1,0,wayformer_h8s,8s,16,4.681091976165772,9.608142757415772,1.0,1
1,0,baseline_h8s,8s,16,4.156807279586792,8.80632791519165,1.0,40
2,0,wayformer_h8s,8s,16,4.743481016159057,9.175993299484253,1.0,20
2,0,baseline_h8s,8s,16,4.563931083679199,8.430064296722412,1.0,1
3,0,wayformer_h8s,8s,16,7.143452048301697,15.899895858764648,1.0,1
3,0,baseline_h8s,8s,16,6.759518837928772,15.636737585067749,1.0,20
4,0,wayformer_h8s,8s,16,6.167428684234619,11.791041946411132,1.0,1
4,0,baseline_h8s,8s,16,5.407154870033264,11.085418128967286,1.0,1
