fold,variant,seed,scene,n_obj,n_moving,ade_all,fde_all,ade_moving,fde_moving,gate,minade_all,minfde_all,minade_moving,minfde_moving,n_veh,ade_veh,fde_veh,minade_veh,minfde_veh
0,base_pad0,0,7e2f727866c69ea0,84,83,4.02815,8.87996,4.05520,8.96134,nan,4.02815,8.87996,4.05520,8.96134,84,4.02815,8.87996,4.02815,8.87996
0,base_pad0,0,82f90331a1dfe968,99,98,2.37739,4.02557,2.38597,4.04926,nan,2.37739,4.02557,2.38597,4.04926,99,2.37739,4.02557,2.37739,4.02557
0,base_pad0,1,7e2f727866c69ea0,84,83,6.88398,13.47806,6.93884,13.60610,nan,6.88398,13.47806,6.93884,13.60610,84,6.88398,13.47806,6.88398,13.47806
0,base_pad0,1,82f90331a1dfe968,99,98,3.74899,6.26491,3.76592,6.30394,nan,3.74899,6.26491,3.76592,6.30394,99,3.74899,6.26491,3.74899,6.26491
0,base_pad0,2,7e2f727866c69ea0,84,83,7.99073,16.34368,8.06409,16.51318,nan,7.99073,16.34368,8.06409,16.51318,84,7.99073,16.34368,7.99073,16.34368
0,base_pad0,2,82f90331a1dfe968,99,98,4.02256,6.61443,4.04638,6.66179,nan,4.02256,6.61443,4.04638,6.66179,99,4.02256,6.61443,4.02256,6.61443
0,base_pad0,3,7e2f727866c69ea0,84,83,5.42646,11.85991,5.46227,11.96245,nan,5.42646,11.85991,5.46227,11.96245,84,5.42646,11.85991,5.42646,11.85991
0,base_pad0,3,82f90331a1dfe968,99,98,2.55209,4.66629,2.55653,4.68506,nan,2.55209,4.66629,2.55653,4.68506,99,2.55209,4.66629,2.55209,4.66629
0,base_pad0,4,7e2f727866c69ea0,84,83,5.23739,11.77359,5.28963,11.90179,nan,5.23739,11.77359,5.28963,11.90179,84,5.23739,11.77359,5.23739,11.77359
0,base_pad0,4,82f90331a1dfe968,99,98,2.79930,5.66579,2.81615,5.70599,nan,2.79930,5.66579,2.81615,5.70599,99,2.79930,5.66579,2.79930,5.66579
0,base_pad0,5,7e2f727866c69ea0,84,83,4.77292,11.16669,4.81573,11.28657,nan,4.77292,11.16669,4.81573,11.28657,84,4.77292,11.16669,4.77292,11.16669
0,base_pad0,5,82f90331a1dfe968,99,98,3.74035,6.79871,3.76907,6.86112,nan,3.74035,6.79871,3.76907,6.86112,99,3.74035,6.79871,3.74035,6.79871
