fold,variant,seed,scene,n_obj,n_moving,ade_all,fde_all,ade_moving,fde_moving,gate
0,ft0,0,7e2f727866c69ea0,200,199,5.00997,11.06481,5.02766,11.11256,0.07094
0,ft0,0,82f90331a1dfe968,119,118,3.59437,6.52195,3.60939,6.55881,0.07094
0,ft2,0,7e2f727866c69ea0,200,199,5.38480,11.41081,5.40371,11.45902,0.03839
0,ft2,0,82f90331a1dfe968,119,118,3.69635,6.61344,3.71076,6.64831,0.03839
0,ft4,0,7e2f727866c69ea0,200,199,5.46742,11.77141,5.48683,11.82132,0.07091
0,ft4,0,82f90331a1dfe968,119,118,3.66279,6.57641,3.67774,6.61198,0.07091
0,ft0,1,7e2f727866c69ea0,200,199,5.03168,10.53562,5.04722,10.57636,0.09932
0,ft0,1,82f90331a1dfe968,119,118,3.38967,6.75808,3.40435,6.79974,0.09932
0,ft2,1,7e2f727866c69ea0,200,199,4.79732,10.05860,4.81328,10.09963,0.09072
0,ft2,1,82f90331a1dfe968,119,118,3.55010,6.92183,3.56776,6.96733,0.09072
0,ft4,1,7e2f727866c69ea0,200,199,3.99395,8.66071,4.00508,8.69358,0.10259
0,ft4,1,82f90331a1dfe968,119,118,3.46861,6.66514,3.48350,6.70523,0.10259
0,ft0,2,7e2f727866c69ea0,200,199,6.30688,12.21558,6.32704,12.26246,0.06695
0,ft0,2,82f90331a1dfe968,119,118,3.50788,5.61698,3.51730,5.63863,0.06695
0,ft2,2,7e2f727866c69ea0,200,199,6.32325,12.08739,6.34302,12.13279,0.06460
0,ft2,2,82f90331a1dfe968,119,118,3.42467,5.47607,3.43381,5.49733,0.06460
0,ft4,2,7e2f727866c69ea0,200,199,6.34418,11.93459,6.36410,11.97934,0.09036
0,ft4,2,82f90331a1dfe968,119,118,3.51557,5.61804,3.52484,5.63955,0.09036
0,ft0,3,7e2f727866c69ea0,200,199,5.00119,11.05836,5.01633,11.10212,0.03630
0,ft0,3,82f90331a1dfe968,119,118,2.70618,4.88288,2.71239,4.90454,0.03630
0,ft2,3,7e2f727866c69ea0,200,199,5.03445,10.37638,5.04958,10.41665,0.05402
0,ft2,3,82f90331a1dfe968,119,118,2.72105,5.09294,2.72803,5.11795,0.05402
0,ft4,3,7e2f727866c69ea0,200,199,5.10341,10.97189,5.11927,11.01555,0.05443
0,ft4,3,82f90331a1dfe968,119,118,2.75812,5.02105,2.76549,5.04520,0.05443
0,ft0,4,7e2f727866c69ea0,200,199,6.36532,12.70455,6.38859,12.75868,0.10564
0,ft0,4,82f90331a1dfe968,119,118,3.68221,6.28730,3.69942,6.32533,0.10564
0,ft2,4,7e2f727866c69ea0,200,199,6.22797,12.36881,6.25075,12.42155,0.09089
0,ft2,4,82f90331a1dfe968,119,118,3.59574,6.42752,3.61296,6.46801,0.09089
0,ft4,4,7e2f727866c69ea0,200,199,5.90257,12.12168,5.92356,12.17256,0.08086
0,ft4,4,82f90331a1dfe968,119,118,3.71892,6.69972,3.73698,6.74145,0.08086
0,ft0,5,7e2f727866c69ea0,200,199,7.34733,15.77782,7.37906,15.85245,0.08028
0,ft0,5,82f90331a1dfe968,119,118,2.85696,4.69660,2.87152,4.72725,0.08028
0,ft2,5,7e2f727866c69ea0,200,199,7.32132,15.58129,7.35419,15.65728,0.07702
0,ft2,5,82f90331a1dfe968,119,118,2.90172,4.73769,2.91660,4.76867,0.07702
0,ft4,5,7e2f727866c69ea0,200,199,7.32792,16.06129,7.36127,16.14019,0.06603
0,ft4,5,82f90331a1dfe968,119,118,2.87801,4.62626,2.89382,4.65761,0.06603
0,ft0,6,7e2f727866c69ea0,200,199,8.02277,16.33615,8.05382,16.40725,0.04926
0,ft0,6,82f90331a1dfe968,119,118,3.48461,5.38313,3.49846,5.41009,0.04926
0,ft2,6,7e2f727866c69ea0,200,199,8.24497,16.74172,8.27772,16.81581,0.07966
0,ft2,6,82f90331a1dfe968,119,118,3.52126,5.46386,3.53666,5.49374,0.07966
0,ft4,6,7e2f727866c69ea0,200,199,7.96380,16.24201,7.99481,16.31314,0.08892
0,ft4,6,82f90331a1dfe968,119,118,3.44653,5.41937,3.45975,5.44609,0.08892
0,ft0,7,7e2f727866c69ea0,200,199,7.62083,16.01342,7.65185,16.08662,0.06503
0,ft0,7,82f90331a1dfe968,119,118,3.44541,5.09519,3.46188,5.12521,0.06503
0,ft2,7,7e2f727866c69ea0,200,199,7.24420,15.07426,7.27388,15.14370,0.05015
0,ft2,7,82f90331a1dfe968,119,118,3.53049,5.35792,3.54758,5.38972,0.05015
0,ft4,7,7e2f727866c69ea0,200,199,7.70529,16.06154,7.73658,16.13471,0.06340
0,ft4,7,82f90331a1dfe968,119,118,3.61410,5.39207,3.63144,5.42289,0.06340
