fold,variant,seed,scene,n_obj,n_moving,ade_all,fde_all,ade_moving,fde_moving,gate,minade_all,minfde_all,minade_moving,minfde_moving,n_veh,ade_veh,fde_veh,minade_veh,minfde_veh
0,gated_maedens,0,7e2f727866c69ea0,84,83,3.18016,7.41101,3.19270,7.46752,0.00107,3.18016,7.41101,3.19270,7.46752,84,3.18016,7.41101,3.18016,7.41101
0,gated_maedens,0,82f90331a1dfe968,99,98,2.89653,5.09802,2.90584,5.12421,0.00107,2.89653,5.09802,2.90584,5.12421,99,2.89653,5.09802,2.89653,5.09802
0,gated_maedens,1,7e2f727866c69ea0,84,83,5.38914,10.98149,5.41829,11.06542,-0.00304,5.38914,10.98149,5.41829,11.06542,84,5.38914,10.98149,5.38914,10.98149
0,gated_maedens,1,82f90331a1dfe968,99,98,3.88812,6.65556,3.90044,6.68646,-0.00304,3.88812,6.65556,3.90044,6.68646,99,3.88812,6.65556,3.88812,6.65556
0,gated_maedens,2,7e2f727866c69ea0,84,83,5.92990,12.73020,5.97810,12.85189,0.00148,5.92990,12.73020,5.97810,12.85189,84,5.92990,12.73020,5.92990,12.73020
0,gated_maedens,2,82f90331a1dfe968,99,98,3.84502,6.46757,3.86410,6.50377,0.00148,3.84502,6.46757,3.86410,6.50377,99,3.84502,6.46757,3.84502,6.46757
0,gated_maedens,3,7e2f727866c69ea0,84,83,5.98391,12.10887,6.01525,12.19505,-0.00010,5.98391,12.10887,6.01525,12.19505,84,5.98391,12.10887,5.98391,12.10887
0,gated_maedens,3,82f90331a1dfe968,99,98,3.54618,5.94115,3.55353,5.96125,-0.00010,3.54618,5.94115,3.55353,5.96125,99,3.54618,5.94115,3.54618,5.94115
0,gated_maedens,4,7e2f727866c69ea0,84,83,5.06302,11.15300,5.11401,11.27484,-0.00038,5.06302,11.15300,5.11401,11.27484,84,5.06302,11.15300,5.06302,11.15300
0,gated_maedens,4,82f90331a1dfe968,99,98,2.89683,5.57058,2.91528,5.61088,-0.00038,2.89683,5.57058,2.91528,5.61088,99,2.89683,5.57058,2.89683,5.57058
0,gated_maedens,5,7e2f727866c69ea0,84,83,4.27237,9.91238,4.30757,10.01393,-0.00028,4.27237,9.91238,4.30757,10.01393,84,4.27237,9.91238,4.27237,9.91238
0,gated_maedens,5,82f90331a1dfe968,99,98,3.57603,6.35331,3.60021,6.40467,-0.00028,3.57603,6.35331,3.60021,6.40467,99,3.57603,6.35331,3.57603,6.35331
0,gated_maedens,6,7e2f727866c69ea0,84,83,4.59934,9.43327,4.61296,9.48739,0.00184,4.59934,9.43327,4.61296,9.48739,84,4.59934,9.43327,4.59934,9.43327
0,gated_maedens,6,82f90331a1dfe968,99,98,3.24443,5.56686,3.24650,5.58104,0.00184,3.24443,5.56686,3.24650,5.58104,99,3.24443,5.56686,3.24443,5.56686
