fold,variant,seed,scene,n_obj,n_moving,ade_all,fde_all,ade_moving,fde_moving,gate
0,baseline,0,7e2f727866c69ea0,200,199,5.08565,10.88649,5.10604,10.93641,nan
0,baseline,0,82f90331a1dfe968,119,118,3.35741,6.61857,3.37785,6.66755,nan
0,gate0,0,7e2f727866c69ea0,200,199,4.12181,9.10754,4.13897,9.15104,0.00000
0,gate0,0,82f90331a1dfe968,119,118,3.08640,5.84456,3.10716,5.89042,0.00000
0,gated,0,7e2f727866c69ea0,200,199,5.62318,11.53164,5.64440,11.58226,0.06130
0,gated,0,82f90331a1dfe968,119,118,3.25570,5.70177,3.27219,5.73883,0.06130
0,baseline,1,7e2f727866c69ea0,200,199,5.23837,10.65109,5.25548,10.69421,nan
0,baseline,1,82f90331a1dfe968,119,118,3.41629,6.39959,3.43110,6.43874,nan
0,gate0,1,7e2f727866c69ea0,200,199,4.49058,9.29350,4.50452,9.33051,0.00000
0,gate0,1,82f90331a1dfe968,119,118,3.69387,6.49420,3.71202,6.53532,0.00000
0,gated,1,7e2f727866c69ea0,200,199,4.99340,10.16401,5.01103,10.20759,0.11030
0,gated,1,82f90331a1dfe968,119,118,3.28887,5.78021,3.30486,5.81762,0.11030
0,baseline,2,7e2f727866c69ea0,200,199,6.76876,13.40650,6.79242,13.46149,nan
0,baseline,2,82f90331a1dfe968,119,118,3.11445,5.48755,3.12455,5.51524,nan
0,gate0,2,7e2f727866c69ea0,200,199,6.00888,12.07226,6.02824,12.11966,0.00000
0,gate0,2,82f90331a1dfe968,119,118,3.17887,5.15552,3.18879,5.17892,0.00000
0,gated,2,7e2f727866c69ea0,200,199,7.36436,13.58860,7.38891,13.64098,0.06880
0,gated,2,82f90331a1dfe968,119,118,3.86759,5.48493,3.88101,5.50762,0.06880
0,baseline,3,7e2f727866c69ea0,200,199,4.91388,11.18161,4.93176,11.23149,nan
0,baseline,3,82f90331a1dfe968,119,118,2.51998,4.98859,2.53127,5.02287,nan
0,gate0,3,7e2f727866c69ea0,200,199,4.14929,9.03247,4.16325,9.07112,0.00000
0,gate0,3,82f90331a1dfe968,119,118,2.65646,5.35546,2.66913,5.39266,0.00000
0,gated,3,7e2f727866c69ea0,200,199,5.34004,10.94740,5.35754,10.99177,0.05866
0,gated,3,82f90331a1dfe968,119,118,2.81097,5.05446,2.82224,5.08495,0.05866
0,baseline,4,7e2f727866c69ea0,200,199,7.03971,13.95464,7.06358,14.01017,nan
0,baseline,4,82f90331a1dfe968,119,118,2.96585,5.89164,2.97275,5.91888,nan
0,gate0,4,7e2f727866c69ea0,200,199,5.52851,11.05156,5.54720,11.09632,0.00000
0,gate0,4,82f90331a1dfe968,119,118,2.86895,5.56178,2.87951,5.59338,0.00000
0,gated,4,7e2f727866c69ea0,200,199,6.01136,11.75257,6.03321,11.80211,0.07817
0,gated,4,82f90331a1dfe968,119,118,3.66937,6.65387,3.68755,6.69630,0.07817
0,baseline,5,7e2f727866c69ea0,200,199,11.63124,23.22159,11.67999,23.32552,nan
0,baseline,5,82f90331a1dfe968,119,118,3.27164,5.28628,3.28404,5.31112,nan
0,gate0,5,7e2f727866c69ea0,200,199,9.51305,19.50905,9.55219,19.59596,0.00000
0,gate0,5,82f90331a1dfe968,119,118,3.40744,5.55793,3.42310,5.58852,0.00000
0,gated,5,7e2f727866c69ea0,200,199,7.50356,16.72135,7.53448,16.79702,0.05452
0,gated,5,82f90331a1dfe968,119,118,2.92276,5.15704,2.93474,5.18273,0.05452
0,baseline,6,7e2f727866c69ea0,200,199,8.54284,17.40154,8.57801,17.47915,nan
0,baseline,6,82f90331a1dfe968,119,118,3.05383,5.36109,3.06717,5.39078,nan
0,gate0,6,7e2f727866c69ea0,200,199,7.72461,16.08000,7.75601,16.15176,0.00000
0,gate0,6,82f90331a1dfe968,119,118,3.12222,5.20396,3.13658,5.23298,0.00000
0,gated,6,7e2f727866c69ea0,200,199,7.85114,16.11898,7.88209,16.18995,0.06979
0,gated,6,82f90331a1dfe968,119,118,3.57526,5.54502,3.59335,5.57892,0.06979
0,baseline,7,7e2f727866c69ea0,200,199,6.97495,14.57800,7.00581,14.64343,nan
0,baseline,7,82f90331a1dfe968,119,118,3.29341,5.55281,3.31341,5.58502,nan
0,gate0,7,7e2f727866c69ea0,200,199,6.23825,12.97427,6.26499,13.03115,0.00000
0,gate0,7,82f90331a1dfe968,119,118,3.26818,5.51628,3.28708,5.54701,0.00000
0,gated,7,7e2f727866c69ea0,200,199,8.04457,15.99799,8.07774,16.07078,0.05291
0,gated,7,82f90331a1dfe968,119,118,4.12935,5.96336,4.15227,6.00143,0.05291
