fold,variant,seed,scene,n_obj,n_moving,ade_all,fde_all,ade_moving,fde_moving,gate
0,baseline,0,7e2f727866c69ea0,84,83,4.02815,8.87996,4.05520,8.96134,nan
0,baseline,0,82f90331a1dfe968,99,98,2.37739,4.02557,2.38597,4.04926,nan
0,gate0,0,7e2f727866c69ea0,84,83,2.84464,6.30505,2.85640,6.35354,0.00000
0,gate0,0,82f90331a1dfe968,99,98,3.31417,6.15470,3.33079,6.19633,0.00000
0,gated,0,7e2f727866c69ea0,84,83,4.82121,10.65794,4.85834,10.76194,0.12684
0,gated,0,82f90331a1dfe968,99,98,3.53940,5.80692,3.55878,5.84724,0.12684
0,baseline,1,7e2f727866c69ea0,84,83,6.88398,13.47806,6.93884,13.60610,nan
0,baseline,1,82f90331a1dfe968,99,98,3.74899,6.26491,3.76592,6.30394,nan
0,gate0,1,7e2f727866c69ea0,84,83,2.79860,6.43555,2.81838,6.50326,0.00000
0,gate0,1,82f90331a1dfe968,99,98,3.56787,6.62983,3.59560,6.69030,0.00000
0,gated,1,7e2f727866c69ea0,84,83,7.71392,15.36810,7.78776,15.53285,0.14183
0,gated,1,82f90331a1dfe968,99,98,4.59282,7.87194,4.62233,7.93238,0.14183
0,baseline,2,7e2f727866c69ea0,84,83,7.99073,16.34368,8.06409,16.51318,nan
0,baseline,2,82f90331a1dfe968,99,98,4.02256,6.61443,4.04638,6.66179,nan
0,gate0,2,7e2f727866c69ea0,84,83,4.79837,10.19124,4.82797,10.27511,0.00000
0,gate0,2,82f90331a1dfe968,99,98,4.02177,6.54170,4.03784,6.57173,0.00000
0,gated,2,7e2f727866c69ea0,84,83,8.61273,17.75558,8.69401,17.94252,0.26186
0,gated,2,82f90331a1dfe968,99,98,4.80739,8.62181,4.83569,8.68394,0.26186
0,baseline,3,7e2f727866c69ea0,84,83,5.42646,11.85991,5.46227,11.96245,nan
0,baseline,3,82f90331a1dfe968,99,98,2.55209,4.66629,2.55653,4.68506,nan
0,gate0,3,7e2f727866c69ea0,84,83,6.19583,11.35233,6.23209,11.43364,0.00000
0,gate0,3,82f90331a1dfe968,99,98,3.98643,6.37166,4.00047,6.39990,0.00000
0,gated,3,7e2f727866c69ea0,84,83,7.36774,14.88636,7.43496,15.03886,0.12097
0,gated,3,82f90331a1dfe968,99,98,4.53209,7.45542,4.56156,7.51132,0.12097
0,baseline,4,7e2f727866c69ea0,84,83,5.23739,11.77359,5.28963,11.90179,nan
0,baseline,4,82f90331a1dfe968,99,98,2.79930,5.66579,2.81615,5.70599,nan
0,gate0,4,7e2f727866c69ea0,84,83,3.27819,5.96404,3.28701,5.99142,0.00000
0,gate0,4,82f90331a1dfe968,99,98,3.48084,6.84799,3.48915,6.87642,0.00000
0,gated,4,7e2f727866c69ea0,84,83,5.84724,12.64076,5.90311,12.77574,0.12715
0,gated,4,82f90331a1dfe968,99,98,3.31508,6.19751,3.34167,6.25166,0.12715
0,baseline,5,7e2f727866c69ea0,84,83,4.77292,11.16669,4.81573,11.28657,nan
0,baseline,5,82f90331a1dfe968,99,98,3.74035,6.79871,3.76907,6.86112,nan
0,gate0,5,7e2f727866c69ea0,84,83,2.96693,6.29508,2.97190,6.32749,0.00000
0,gate0,5,82f90331a1dfe968,99,98,3.73247,6.60142,3.74618,6.63444,0.00000
0,gated,5,7e2f727866c69ea0,84,83,6.70288,14.55242,6.77564,14.71938,0.23204
0,gated,5,82f90331a1dfe968,99,98,3.43733,6.34540,3.46651,6.40009,0.23204
0,baseline,6,7e2f727866c69ea0,84,83,4.36315,9.54962,4.37428,9.60498,nan
0,baseline,6,82f90331a1dfe968,99,98,3.11914,5.58985,3.11806,5.60027,nan
0,gate0,6,7e2f727866c69ea0,84,83,4.37334,8.87151,4.38488,8.91971,0.00000
