fold,variant,seed,scene,n_obj,n_moving,ade_all,fde_all,ade_moving,fde_moving,gate,minade_all,minfde_all,minade_moving,minfde_moving
0,gate0_obj,0,7e2f727866c69ea0,84,83,2.84464,6.30505,2.85640,6.35354,0.00000,2.84464,6.30505,2.85640,6.35354
0,gate0_obj,0,82f90331a1dfe968,99,98,3.31417,6.15470,3.33079,6.19633,0.00000,3.31417,6.15470,3.33079,6.19633
0,gate0_obj,1,7e2f727866c69ea0,84,83,2.79860,6.43555,2.81838,6.50326,0.00000,2.79860,6.43555,2.81838,6.50326
0,gate0_obj,1,82f90331a1dfe968,99,98,3.56787,6.62983,3.59560,6.69030,0.00000,3.56787,6.62983,3.59560,6.69030
0,gate0_obj,2,7e2f727866c69ea0,84,83,4.79837,10.19124,4.82797,10.27511,0.00000,4.79837,10.19124,4.82797,10.27511
0,gate0_obj,2,82f90331a1dfe968,99,98,4.02177,6.54170,4.03784,6.57173,0.00000,4.02177,6.54170,4.03784,6.57173
0,gate0_obj,3,7e2f727866c69ea0,84,83,6.19583,11.35233,6.23209,11.43364,0.00000,6.19583,11.35233,6.23209,11.43364
0,gate0_obj,3,82f90331a1dfe968,99,98,3.98643,6.37166,4.00047,6.39990,0.00000,3.98643,6.37166,4.00047,6.39990
0,gated_obj,0,7e2f727866c69ea0,84,83,3.17080,7.54062,3.18854,7.60797,0.00040,3.17080,7.54062,3.18854,7.60797
0,gated_obj,0,82f90331a1dfe968,99,98,2.80960,4.81069,2.82271,4.84192,0.00040,2.80960,4.81069,2.82271,4.84192
0,gated_obj,1,7e2f727866c69ea0,84,83,6.44979,12.96912,6.49655,13.08459,-0.00093,6.44979,12.96912,6.49655,13.08459
0,gated_obj,1,82f90331a1dfe968,99,98,3.90213,6.48389,3.92031,6.52396,-0.00093,3.90213,6.48389,3.92031,6.52396
0,gated_obj,2,7e2f727866c69ea0,84,83,5.51957,12.38910,5.56745,12.51327,0.00049,5.51957,12.38910,5.56745,12.51327
0,gated_obj,2,82f90331a1dfe968,99,98,3.70063,6.30523,3.72134,6.34371,0.00049,3.70063,6.30523,3.72134,6.34371
0,gated_obj,3,7e2f727866c69ea0,84,83,5.41127,11.06242,5.43621,11.13752,-0.00035,5.41127,11.06242,5.43621,11.13752
0,gated_obj,3,82f90331a1dfe968,99,98,3.23905,5.42983,3.24363,5.44574,-0.00035,3.23905,5.42983,3.24363,5.44574
1,gate0_obj,0,2a81f5233075e987,273,272,2.35757,3.30941,2.35505,3.30586,0.00000,2.35757,3.30941,2.35505,3.30586
1,gate0_obj,0,4014ae5bcda2726f,144,143,5.16171,9.44565,5.17568,9.48060,0.00000,5.16171,9.44565,5.17568,9.48060
1,gate0_obj,1,2a81f5233075e987,273,272,1.19931,2.06221,1.19679,2.06235,0.00000,1.19931,2.06221,1.19679,2.06235
1,gate0_obj,1,4014ae5bcda2726f,144,143,2.78508,5.09010,2.79049,5.11035,0.00000,2.78508,5.09010,2.79049,5.11035
1,gate0_obj,2,2a81f5233075e987,273,272,1.61322,3.23903,1.61649,3.24744,0.00000,1.61322,3.23903,1.61649,3.24744
1,gate0_obj,2,4014ae5bcda2726f,144,143,1.96111,3.54843,1.96888,3.56579,0.00000,1.96111,3.54843,1.96888,3.56579
1,gate0_obj,3,2a81f5233075e987,273,272,1.29695,1.94202,1.29562,1.94171,0.00000,1.29695,1.94202,1.29562,1.94171
1,gate0_obj,3,4014ae5bcda2726f,144,143,3.33884,6.38286,3.34997,6.41258,0.00000,3.33884,6.38286,3.34997,6.41258
1,gated_obj,0,2a81f5233075e987,273,272,1.62162,2.23087,1.61936,2.22827,0.00391,1.62162,2.23087,1.61936,2.22827
1,gated_obj,0,4014ae5bcda2726f,144,143,4.30264,8.16126,4.31634,8.19667,0.00391,4.30264,8.16126,4.31634,8.19667
1,gated_obj,1,2a81f5233075e987,273,272,1.16727,2.14895,1.16619,2.15192,0.00284,1.16727,2.14895,1.16619,2.15192
1,gated_obj,1,4014ae5bcda2726f,144,143,2.66457,5.11386,2.67181,5.13846,0.00284,2.66457,5.11386,2.67181,5.13846
1,gated_obj,2,2a81f5233075e987,273,272,1.18086,2.52008,1.18263,2.52838,0.00013,1.18086,2.52008,1.18263,2.52838
1,gated_obj,2,4014ae5bcda2726f,144,143,1.93328,3.66376,1.94106,3.68642,0.00013,1.93328,3.66376,1.94106,3.68642
1,gated_obj,3,2a81f5233075e987,273,272,1.31894,1.99555,1.31708,1.99466,0.00167,1.31894,1.99555,1.31708,1.99466
1,gated_obj,3,4014ae5bcda2726f,144,143,3.57005,6.98299,3.58138,7.01509,0.00167,3.57005,6.98299,3.58138,7.01509
2,gate0_obj,0,2e41fe6faf5cd2ea,210,183,1.71227,2.96476,1.76309,3.18470,0.00000,1.71227,2.96476,1.76309,3.18470
2,gate0_obj,0,41692b0ec7ff4123,105,104,6.32478,21.23954,6.37526,21.43522,0.00000,6.32478,21.23954,6.37526,21.43522
2,gate0_obj,1,2e41fe6faf5cd2ea,210,183,3.67548,5.80584,3.71763,6.00873,0.00000,3.67548,5.80584,3.71763,6.00873
2,gate0_obj,1,41692b0ec7ff4123,105,104,7.43541,21.98881,7.47581,22.16124,0.00000,7.43541,21.98881,7.47581,22.16124
2,gate0_obj,2,2e41fe6faf5cd2ea,210,183,1.46520,2.62663,1.51688,2.85505,0.00000,1.46520,2.62663,1.51688,2.85505
2,gate0_obj,2,41692b0ec7ff4123,105,104,6.05031,20.97245,6.10113,21.17074,0.00000,6.05031,20.97245,6.10113,21.17074
2,gate0_obj,3,2e41fe6faf5cd2ea,210,183,3.10072,5.00292,3.12156,5.18686,0.00000,3.10072,5.00292,3.12156,5.18686
2,gate0_obj,3,41692b0ec7ff4123,105,104,7.23985,21.85910,7.28224,22.03631,0.00000,7.23985,21.85910,7.28224,22.03631
2,gated_obj,0,2e41fe6faf5cd2ea,210,183,1.41227,2.88549,1.51152,3.17363,0.00371,1.41227,2.88549,1.51152,3.17363
2,gated_obj,0,41692b0ec7ff4123,105,104,6.39242,21.56945,6.44866,21.77108,0.00371,6.39242,21.56945,6.44866,21.77108
2,gated_obj,1,2e41fe6faf5cd2ea,210,183,3.18462,5.14327,3.26075,5.40321,0.00304,3.18462,5.14327,3.26075,5.40321
2,gated_obj,1,41692b0ec7ff4123,105,104,7.18891,21.98459,7.23263,22.16496,0.00304,7.18891,21.98459,7.23263,22.16496
2,gated_obj,2,2e41fe6faf5cd2ea,210,183,1.81290,3.32920,1.88128,3.59717,0.00398,1.81290,3.32920,1.88128,3.59717
