fold,variant,seed,scene,n_obj,n_moving,ade_all,fde_all,ade_moving,fde_moving,gate,minade_all,minfde_all,minade_moving,minfde_moving,n_veh,ade_veh,fde_veh,minade_veh,minfde_veh
0,gate0_obj,4,7e2f727866c69ea0,84,83,3.27819,5.96404,3.28701,5.99142,0.00000,3.27819,5.96404,3.28701,5.99142,84,3.27819,5.96404,3.27819,5.96404
0,gate0_obj,4,82f90331a1dfe968,99,98,3.48084,6.84799,3.48915,6.87642,0.00000,3.48084,6.84799,3.48915,6.87642,99,3.48084,6.84799,3.48084,6.84799
0,gate0_obj,5,7e2f727866c69ea0,84,83,2.96693,6.29508,2.97190,6.32749,0.00000,2.96693,6.29508,2.97190,6.32749,84,2.96693,6.29508,2.96693,6.29508
0,gate0_obj,5,82f90331a1dfe968,99,98,3.73247,6.60142,3.74618,6.63444,0.00000,3.73247,6.60142,3.74618,6.63444,99,3.73247,6.60142,3.73247,6.60142
0,gate0_obj,6,7e2f727866c69ea0,84,83,4.37334,8.87151,4.38488,8.91971,0.00000,4.37334,8.87151,4.38488,8.91971,84,4.37334,8.87151,4.37334,8.87151
0,gate0_obj,6,82f90331a1dfe968,99,98,3.55792,6.15021,3.56281,6.16932,0.00000,3.55792,6.15021,3.56281,6.16932,99,3.55792,6.15021,3.55792,6.15021
0,gate0_obj,7,7e2f727866c69ea0,84,83,3.84827,8.01898,3.86876,8.08416,0.00000,3.84827,8.01898,3.86876,8.08416,84,3.84827,8.01898,3.84827,8.01898
0,gate0_obj,7,82f90331a1dfe968,99,98,3.37138,5.98960,3.38440,6.02390,0.00000,3.37138,5.98960,3.38440,6.02390,99,3.37138,5.98960,3.37138,5.98960
0,gated_obj,4,7e2f727866c69ea0,84,83,5.30597,11.65250,5.35424,11.77094,0.00123,5.30597,11.65250,5.35424,11.77094,84,5.30597,11.65250,5.30597,11.65250
0,gated_obj,4,82f90331a1dfe968,99,98,3.10630,5.66356,3.12207,5.69679,0.00123,3.10630,5.66356,3.12207,5.69679,99,3.10630,5.66356,3.10630,5.66356
0,gated_obj,5,7e2f727866c69ea0,84,83,3.22827,7.23062,3.23562,7.27324,0.00040,3.22827,7.23062,3.23562,7.27324,84,3.22827,7.23062,3.22827,7.23062
0,gated_obj,5,82f90331a1dfe968,99,98,3.73579,6.60708,3.74894,6.63956,0.00040,3.73579,6.60708,3.74894,6.63956,99,3.73579,6.60708,3.73579,6.60708
0,gated_obj,6,7e2f727866c69ea0,84,83,4.48665,9.11330,4.49682,9.16023,0.00144,4.48665,9.11330,4.49682,9.16023,84,4.48665,9.11330,4.48665,9.11330
0,gated_obj,6,82f90331a1dfe968,99,98,3.23290,5.65418,3.23197,5.66448,0.00144,3.23290,5.65418,3.23197,5.66448,99,3.23290,5.65418,3.23290,5.65418
0,gated_obj,7,7e2f727866c69ea0,84,83,5.27888,11.20828,5.31725,11.31263,0.00118,5.27888,11.20828,5.31725,11.31263,84,5.27888,11.20828,5.27888,11.20828
0,gated_obj,7,82f90331a1dfe968,99,98,3.17244,5.74707,3.18729,5.78646,0.00118,3.17244,5.74707,3.18729,5.78646,99,3.17244,5.74707,3.17244,5.74707
1,gate0_obj,4,2a81f5233075e987,273,272,1.04301,1.79809,1.04226,1.80087,0.00000,1.04301,1.79809,1.04226,1.80087,189,1.06112,1.86034,1.06112,1.86034
1,gate0_obj,4,4014ae5bcda2726f,144,143,3.12233,5.91392,3.13441,5.94651,0.00000,3.12233,5.91392,3.13441,5.94651,123,3.29907,6.31587,3.29907,6.31587
1,gate0_obj,5,2a81f5233075e987,273,272,1.48813,2.12176,1.48435,2.11820,0.00000,1.48813,2.12176,1.48435,2.11820,189,1.39501,1.94344,1.39501,1.94344
1,gate0_obj,5,4014ae5bcda2726f,144,143,3.28808,6.20769,3.29280,6.22880,0.00000,3.28808,6.20769,3.29280,6.22880,123,3.40394,6.50599,3.40394,6.50599
1,gate0_obj,6,2a81f5233075e987,273,272,1.24699,2.20297,1.24569,2.20436,0.00000,1.24699,2.20297,1.24569,2.20436,189,1.10257,1.97942,1.10257,1.97942
1,gate0_obj,6,4014ae5bcda2726f,144,143,2.74213,5.18760,2.74986,5.21145,0.00000,2.74213,5.18760,2.74986,5.21145,123,2.82131,5.40163,2.82131,5.40163
1,gate0_obj,7,2a81f5233075e987,273,272,1.49220,1.88332,1.48918,1.88043,0.00000,1.49220,1.88332,1.48918,1.88043,189,1.46136,1.81326,1.46136,1.81326
1,gate0_obj,7,4014ae5bcda2726f,144,143,3.73689,6.83482,3.74613,6.86320,0.00000,3.73689,6.83482,3.74613,6.86320,123,3.93163,7.28147,3.93163,7.28147
1,gated_obj,4,2a81f5233075e987,273,272,1.54933,2.97319,1.55170,2.97989,0.00271,1.54933,2.97319,1.55170,2.97989,189,1.55230,3.05353,1.55230,3.05353
1,gated_obj,4,4014ae5bcda2726f,144,143,2.54101,5.06737,2.55352,5.09728,0.00271,2.54101,5.06737,2.55352,5.09728,123,2.67173,5.39752,2.67173,5.39752
1,gated_obj,5,2a81f5233075e987,273,272,1.42765,2.59960,1.42564,2.60029,0.00262,1.42765,2.59960,1.42564,2.60029,189,1.29529,2.46755,1.29529,2.46755
1,gated_obj,5,4014ae5bcda2726f,144,143,2.96182,5.71892,2.96825,5.74198,0.00262,2.96182,5.71892,2.96825,5.74198,123,3.06148,5.98509,3.06148,5.98509
1,gated_obj,6,2a81f5233075e987,273,272,1.23453,2.45906,1.23467,2.46388,0.00419,1.23453,2.45906,1.23467,2.46388,189,1.15947,2.36690,1.15947,2.36690
1,gated_obj,6,4014ae5bcda2726f,144,143,2.47417,4.95368,2.48276,4.98076,0.00419,2.47417,4.95368,2.48276,4.98076,123,2.53772,5.15413,2.53772,5.15413
1,gated_obj,7,2a81f5233075e987,273,272,1.42613,1.80624,1.42405,1.80502,0.00341,1.42613,1.80624,1.42405,1.80502,189,1.52583,1.98053,1.52583,1.98053
1,gated_obj,7,4014ae5bcda2726f,144,143,3.74128,6.80620,3.75253,6.83756,0.00341,3.74128,6.80620,3.75253,6.83756,123,3.92524,7.21619,3.92524,7.21619
2,gate0_obj,4,2e41fe6faf5cd2ea,210,183,3.18194,5.36306,3.22292,5.56477,0.00000,3.18194,5.36306,3.22292,5.56477,199,3.17360,5.37917,3.17360,5.37917
