fold,variant,seed,scene,n_obj,n_moving,ade_all,fde_all,ade_moving,fde_moving,gate,minade_all,minfde_all,minade_moving,minfde_moving
0,enc_mejor,0,7e2f727866c69ea0,84,83,7.70946,15.39699,7.78308,15.56162,0.50000,7.70946,15.39699,7.78308,15.56162
0,enc_mejor,0,82f90331a1dfe968,99,98,3.65330,5.90712,3.67799,5.95629,0.50000,3.65330,5.90712,3.67799,5.95629
0,enc_mejor,1,7e2f727866c69ea0,84,83,8.85634,17.38885,8.93684,17.56679,0.50000,8.85634,17.38885,8.93684,17.56679
0,enc_mejor,1,82f90331a1dfe968,99,98,4.97288,8.12539,5.00088,8.18112,0.50000,4.97288,8.12539,5.00088,8.18112
0,enc_mejor,2,7e2f727866c69ea0,84,83,9.41957,19.22058,9.51856,19.43859,0.50000,9.41957,19.22058,9.51856,19.43859
0,enc_mejor,2,82f90331a1dfe968,99,98,6.14731,9.72191,6.19069,9.79642,0.50000,6.14731,9.72191,6.19069,9.79642
0,enc_mejor,3,7e2f727866c69ea0,84,83,12.14810,22.69176,12.25956,22.91778,0.50000,12.14810,22.69176,12.25956,22.91778
0,enc_mejor,3,82f90331a1dfe968,99,98,8.40506,13.39698,8.45675,13.48631,0.50000,8.40506,13.39698,8.45675,13.48631
0,enc_1000,0,7e2f727866c69ea0,84,83,6.92344,14.15002,6.98813,14.30083,0.50000,6.92344,14.15002,6.98813,14.30083
0,enc_1000,0,82f90331a1dfe968,99,98,4.49014,7.52378,4.52408,7.59126,0.50000,4.49014,7.52378,4.52408,7.59126
0,enc_1000,1,7e2f727866c69ea0,84,83,8.29791,16.02158,8.37663,16.18997,0.50000,8.29791,16.02158,8.37663,16.18997
0,enc_1000,1,82f90331a1dfe968,99,98,4.69151,7.88912,4.71964,7.94545,0.50000,4.69151,7.88912,4.71964,7.94545
0,enc_1000,2,7e2f727866c69ea0,84,83,9.39625,18.67602,9.48630,18.87300,0.50000,9.39625,18.67602,9.48630,18.87300
0,enc_1000,2,82f90331a1dfe968,99,98,5.71343,9.57595,5.73614,9.62257,0.50000,5.71343,9.57595,5.73614,9.62257
0,enc_1000,3,7e2f727866c69ea0,84,83,13.32573,25.01804,13.47858,25.30652,0.50000,13.32573,25.01804,13.47858,25.30652
0,enc_1000,3,82f90331a1dfe968,99,98,7.66352,12.65110,7.66760,12.66327,0.50000,7.66352,12.65110,7.66760,12.66327
1,enc_mejor,0,2a81f5233075e987,273,272,1.53786,2.01123,1.53686,2.01120,0.50000,1.53786,2.01123,1.53686,2.01120
1,enc_mejor,0,4014ae5bcda2726f,144,143,4.38880,8.47444,4.40619,8.51886,0.50000,4.38880,8.47444,4.40619,8.51886
1,enc_mejor,1,2a81f5233075e987,273,272,1.49025,1.84330,1.48790,1.84143,0.50000,1.49025,1.84330,1.48790,1.84143
1,enc_mejor,1,4014ae5bcda2726f,144,143,4.13498,7.71346,4.14867,7.75078,0.50000,4.13498,7.71346,4.14867,7.75078
1,enc_mejor,2,2a81f5233075e987,273,272,1.40327,2.80256,1.40387,2.80633,0.50000,1.40327,2.80256,1.40387,2.80633
1,enc_mejor,2,4014ae5bcda2726f,144,143,3.18105,5.81625,3.19178,5.84137,0.50000,3.18105,5.81625,3.19178,5.84137
1,enc_mejor,3,2a81f5233075e987,273,272,1.07861,1.77352,1.07743,1.77518,0.50000,1.07861,1.77352,1.07743,1.77518
1,enc_mejor,3,4014ae5bcda2726f,144,143,3.91017,7.38620,3.92715,7.42800,0.50000,3.91017,7.38620,3.92715,7.42800
1,enc_1000,0,2a81f5233075e987,273,272,3.73808,5.54967,3.73676,5.54797,0.50000,3.73808,5.54967,3.73676,5.54797
1,enc_1000,0,4014ae5bcda2726f,144,143,4.45405,8.38914,4.47238,8.43267,0.50000,4.45405,8.38914,4.47238,8.43267
1,enc_1000,1,2a81f5233075e987,273,272,2.07363,2.74693,2.06874,2.73999,0.50000,2.07363,2.74693,2.06874,2.73999
1,enc_1000,1,4014ae5bcda2726f,144,143,4.37046,8.11151,4.39461,8.16490,0.50000,4.37046,8.11151,4.39461,8.16490
1,enc_1000,2,2a81f5233075e987,273,272,2.91601,4.06507,2.91467,4.06406,0.50000,2.91601,4.06507,2.91467,4.06406
1,enc_1000,2,4014ae5bcda2726f,144,143,3.66622,5.81206,3.66827,5.81966,0.50000,3.66622,5.81206,3.66827,5.81966
1,enc_1000,3,2a81f5233075e987,273,272,4.09834,6.33685,4.10034,6.34066,0.50000,4.09834,6.33685,4.10034,6.34066
1,enc_1000,3,4014ae5bcda2726f,144,143,5.69156,10.17686,5.71601,10.22691,0.50000,5.69156,10.17686,5.71601,10.22691
2,enc_mejor,0,2e41fe6faf5cd2ea,210,183,3.76813,6.78108,4.22501,7.66691,0.50000,3.76813,6.78108,4.22501,7.66691
2,enc_mejor,0,41692b0ec7ff4123,105,104,8.91207,25.66534,8.99146,25.90582,0.50000,8.91207,25.66534,8.99146,25.90582
2,enc_mejor,1,2e41fe6faf5cd2ea,210,183,3.22877,5.44908,3.29515,5.71585,0.50000,3.22877,5.44908,3.29515,5.71585
2,enc_mejor,1,41692b0ec7ff4123,105,104,8.47128,23.99798,8.52256,24.18889,0.50000,8.47128,23.99798,8.52256,24.18889
2,enc_mejor,2,2e41fe6faf5cd2ea,210,183,4.93722,8.35416,5.22466,8.96856,0.50000,4.93722,8.35416,5.22466,8.96856
2,enc_mejor,2,41692b0ec7ff4123,105,104,8.76650,23.98262,8.82513,24.17905,0.50000,8.76650,23.98262,8.82513,24.17905
2,enc_mejor,3,2e41fe6faf5cd2ea,210,183,4.63985,7.69548,4.75035,8.01609,0.50000,4.63985,7.69548,4.75035,8.01609
2,enc_mejor,3,41692b0ec7ff4123,105,104,9.47237,24.93173,9.52520,25.11782,0.50000,9.47237,24.93173,9.52520,25.11782
2,enc_1000,0,2e41fe6faf5cd2ea,210,183,3.64621,5.76616,3.75107,6.09069,0.50000,3.64621,5.76616,3.75107,6.09069
2,enc_1000,0,41692b0ec7ff4123,105,104,8.34209,23.55776,8.39300,23.74936,0.50000,8.34209,23.55776,8.39300,23.74936
2,enc_1000,1,2e41fe6faf5cd2ea,210,183,3.29279,5.43551,3.38226,5.74421,0.50000,3.29279,5.43551,3.38226,5.74421
2,enc_1000,1,41692b0ec7ff4123,105,104,8.11441,23.58708,8.16606,23.78178,0.50000,8.11441,23.58708,8.16606,23.78178
2,enc_1000,2,2e41fe6faf5cd2ea,210,183,1.50419,2.92747,1.62064,3.28509,0.50000,1.50419,2.92747,1.62064,3.28509
2,enc_1000,2,41692b0ec7ff4123,105,104,7.03267,22.65983,7.09209,22.86868,0.50000,7.03267,22.65983,7.09209,22.86868
2,enc_1000,3,2e41fe6faf5cd2ea,210,183,2.04295,3.81794,2.10781,4.07193,0.50000,2.04295,3.81794,2.10781,4.07193
2,enc_1000,3,41692b0ec7ff4123,105,104,7.40913,22.90160,7.46901,23.11040,0.50000,7.40913,22.90160,7.46901,23.11040
3,enc_mejor,0,367b072edc9822ea,36,35,7.18549,14.56917,7.32568,14.89171,0.50000,7.18549,14.56917,7.32568,14.89171
3,enc_mejor,0,4a2ef30000d19d90,144,143,2.01772,3.51087,2.01605,3.51283,0.50000,2.01772,3.51087,2.01605,3.51283
