fold,variant,seed,scene,n_obj,n_moving,ade_all,fde_all,ade_moving,fde_moving,gate,minade_all,minfde_all,minade_moving,minfde_moving,n_veh,ade_veh,fde_veh,minade_veh,minfde_veh
0,gate0_rv,0,7e2f727866c69ea0,84,83,5.52826,10.51352,5.58221,10.61560,0.00000,5.52826,10.51352,5.58221,10.61560,84,5.52826,10.51352,5.52826,10.51352
0,gate0_rv,0,82f90331a1dfe968,99,98,3.66169,7.23284,3.68692,7.27939,0.00000,3.66169,7.23284,3.68692,7.27939,99,3.66169,7.23284,3.66169,7.23284
0,gate0_rv,1,7e2f727866c69ea0,84,83,5.77968,12.36709,5.83496,12.48476,0.00000,5.77968,12.36709,5.83496,12.48476,84,5.77968,12.36709,5.77968,12.36709
0,gate0_rv,1,82f90331a1dfe968,99,98,4.15084,7.49946,4.17888,7.54657,0.00000,4.15084,7.49946,4.17888,7.54657,99,4.15084,7.49946,4.15084,7.49946
0,gate0_rv,2,7e2f727866c69ea0,84,83,5.00587,10.21560,5.05426,10.31631,0.00000,5.00587,10.21560,5.05426,10.31631,84,5.00587,10.21560,5.00587,10.21560
0,gate0_rv,2,82f90331a1dfe968,99,98,3.78177,7.59005,3.81342,7.65287,0.00000,3.78177,7.59005,3.81342,7.65287,99,3.78177,7.59005,3.78177,7.59005
0,gate0_rv,3,7e2f727866c69ea0,84,83,5.22591,11.16821,5.28225,11.29070,0.00000,5.22591,11.16821,5.28225,11.29070,84,5.22591,11.16821,5.22591,11.16821
0,gate0_rv,3,82f90331a1dfe968,99,98,4.15775,7.55225,4.19139,7.61044,0.00000,4.15775,7.55225,4.19139,7.61044,99,4.15775,7.55225,4.15775,7.55225
0,gate0_rv,4,7e2f727866c69ea0,84,83,5.46495,10.80527,5.52245,10.92224,0.00000,5.46495,10.80527,5.52245,10.92224,84,5.46495,10.80527,5.46495,10.80527
0,gate0_rv,4,82f90331a1dfe968,99,98,3.97326,7.79721,4.00358,7.85758,0.00000,3.97326,7.79721,4.00358,7.85758,99,3.97326,7.79721,3.97326,7.79721
0,gate0_rv,5,7e2f727866c69ea0,84,83,4.97242,9.20245,5.02179,9.31064,0.00000,4.97242,9.20245,5.02179,9.31064,84,4.97242,9.20245,4.97242,9.20245
0,gate0_rv,5,82f90331a1dfe968,99,98,3.70290,7.06595,3.73183,7.12558,0.00000,3.70290,7.06595,3.73183,7.12558,99,3.70290,7.06595,3.70290,7.06595
0,gate0_rv,6,7e2f727866c69ea0,84,83,5.63156,11.42073,5.68495,11.53567,0.00000,5.63156,11.42073,5.68495,11.53567,84,5.63156,11.42073,5.63156,11.42073
0,gate0_rv,6,82f90331a1dfe968,99,98,4.59701,8.44584,4.62851,8.50379,0.00000,4.59701,8.44584,4.62851,8.50379,99,4.59701,8.44584,4.59701,8.44584
0,gate0_rv,7,7e2f727866c69ea0,84,83,4.61925,9.35357,4.66761,9.45284,0.00000,4.61925,9.35357,4.66761,9.45284,84,4.61925,9.35357,4.61925,9.35357
0,gate0_rv,7,82f90331a1dfe968,99,98,4.25416,8.45301,4.29109,8.52529,0.00000,4.25416,8.45301,4.29109,8.52529,99,4.25416,8.45301,4.25416,8.45301
0,gated_rv,0,7e2f727866c69ea0,84,83,3.25373,6.13204,3.28666,6.19621,0.00858,3.25373,6.13204,3.28666,6.19621,84,3.25373,6.13204,3.25373,6.13204
0,gated_rv,0,82f90331a1dfe968,99,98,5.43511,12.04577,5.48555,12.16710,0.00858,5.43511,12.04577,5.48555,12.16710,99,5.43511,12.04577,5.43511,12.04577
