fold,variant,seed,scene,n_obj,n_moving,ade_all,fde_all,ade_moving,fde_moving,gate
0,baseline,0,7e2f727866c69ea0,33,33,2.05122,2.46875,2.05122,2.46875,nan
0,baseline,0,82f90331a1dfe968,18,18,1.34076,1.80404,1.34076,1.80404,nan
0,gate0,0,7e2f727866c69ea0,33,33,2.05337,2.67067,2.05337,2.67067,0.00000
0,gate0,0,82f90331a1dfe968,18,18,1.25293,1.62609,1.25293,1.62609,0.00000
0,gated,0,7e2f727866c69ea0,33,33,1.44429,1.69112,1.44429,1.69112,0.14458
0,gated,0,82f90331a1dfe968,18,18,1.12193,1.52354,1.12193,1.52354,0.14458
0,baseline,1,7e2f727866c69ea0,33,33,2.54969,2.94943,2.54969,2.94943,nan
0,baseline,1,82f90331a1dfe968,18,18,1.61264,1.84319,1.61264,1.84319,nan
0,gate0,1,7e2f727866c69ea0,33,33,2.46006,2.67926,2.46006,2.67926,0.00000
0,gate0,1,82f90331a1dfe968,18,18,1.56332,1.80202,1.56332,1.80202,0.00000
0,gated,1,7e2f727866c69ea0,33,33,1.93951,2.22384,1.93951,2.22384,0.18368
0,gated,1,82f90331a1dfe968,18,18,1.26278,1.32242,1.26278,1.32242,0.18368
0,baseline,2,7e2f727866c69ea0,33,33,3.41993,4.17009,3.41993,4.17009,nan
0,baseline,2,82f90331a1dfe968,18,18,1.65963,1.79840,1.65963,1.79840,nan
0,gate0,2,7e2f727866c69ea0,33,33,3.37916,4.06444,3.37916,4.06444,0.00000
0,gate0,2,82f90331a1dfe968,18,18,1.72317,1.85517,1.72317,1.85517,0.00000
0,gated,2,7e2f727866c69ea0,33,33,2.41461,2.96597,2.41461,2.96597,0.15860
0,gated,2,82f90331a1dfe968,18,18,1.30815,1.53047,1.30815,1.53047,0.15860
0,baseline,3,7e2f727866c69ea0,33,33,2.10591,2.25210,2.10591,2.25210,nan
0,baseline,3,82f90331a1dfe968,18,18,1.58511,1.87460,1.58511,1.87460,nan
0,gate0,3,7e2f727866c69ea0,33,33,2.38687,2.65160,2.38687,2.65160,0.00000
0,gate0,3,82f90331a1dfe968,18,18,1.56462,1.86946,1.56462,1.86946,0.00000
0,gated,3,7e2f727866c69ea0,33,33,1.34308,1.74199,1.34308,1.74199,0.14898
0,gated,3,82f90331a1dfe968,18,18,1.36268,1.62356,1.36268,1.62356,0.14898
0,baseline,4,7e2f727866c69ea0,33,33,1.65652,1.92515,1.65652,1.92515,nan
0,baseline,4,82f90331a1dfe968,18,18,1.52557,1.58044,1.52557,1.58044,nan
0,gate0,4,7e2f727866c69ea0,33,33,1.89206,2.17497,1.89206,2.17497,0.00000
0,gate0,4,82f90331a1dfe968,18,18,1.54128,1.64329,1.54128,1.64329,0.00000
0,gated,4,7e2f727866c69ea0,33,33,1.52855,1.91855,1.52855,1.91855,0.19552
0,gated,4,82f90331a1dfe968,18,18,1.78500,1.99854,1.78500,1.99854,0.19552
0,baseline,5,7e2f727866c69ea0,33,33,2.09579,2.50617,2.09579,2.50617,nan
0,baseline,5,82f90331a1dfe968,18,18,1.45660,1.76806,1.45660,1.76806,nan
0,gate0,5,7e2f727866c69ea0,33,33,2.03882,2.48025,2.03882,2.48025,0.00000
0,gate0,5,82f90331a1dfe968,18,18,1.55347,2.01543,1.55347,2.01543,0.00000
0,gated,5,7e2f727866c69ea0,33,33,1.69104,2.25791,1.69104,2.25791,0.15234
0,gated,5,82f90331a1dfe968,18,18,1.99980,2.49938,1.99980,2.49938,0.15234
0,baseline,6,7e2f727866c69ea0,33,33,2.19566,2.66433,2.19566,2.66433,nan
0,baseline,6,82f90331a1dfe968,18,18,1.42196,1.70052,1.42196,1.70052,nan
0,gate0,6,7e2f727866c69ea0,33,33,2.49075,2.99917,2.49075,2.99917,0.00000
0,gate0,6,82f90331a1dfe968,18,18,1.52541,1.78767,1.52541,1.78767,0.00000
0,gated,6,7e2f727866c69ea0,33,33,2.07884,2.64981,2.07884,2.64981,0.18249
0,gated,6,82f90331a1dfe968,18,18,2.25457,2.54166,2.25457,2.54166,0.18249
0,baseline,7,7e2f727866c69ea0,33,33,1.63627,2.03116,1.63627,2.03116,nan
0,baseline,7,82f90331a1dfe968,18,18,1.31692,1.56539,1.31692,1.56539,nan
0,gate0,7,7e2f727866c69ea0,33,33,1.87069,2.45191,1.87069,2.45191,0.00000
0,gate0,7,82f90331a1dfe968,18,18,1.46747,1.60434,1.46747,1.60434,0.00000
0,gated,7,7e2f727866c69ea0,33,33,1.55229,2.13296,1.55229,2.13296,0.16333
0,gated,7,82f90331a1dfe968,18,18,1.30995,1.65284,1.30995,1.65284,0.16333
