fold,variant,seed,scene,n_obj,n_moving,ade_all,fde_all,ade_moving,fde_moving,gate
0,gate0,0,7e2f727866c69ea0,33,33,2.16765,2.21946,2.16765,2.21946,0.00000
0,gate0,0,82f90331a1dfe968,18,18,3.34854,4.65411,3.34854,4.65411,0.00000
0,gated,0,7e2f727866c69ea0,33,33,1.48768,1.49947,1.48768,1.49947,0.37297
0,gated,0,82f90331a1dfe968,18,18,1.67347,1.75321,1.67347,1.75321,0.37297
0,baseline,1,7e2f727866c69ea0,33,33,1.64445,1.94891,1.64445,1.94891,nan
0,baseline,1,82f90331a1dfe968,18,18,3.01274,4.64001,3.01274,4.64001,nan
0,gate0,1,7e2f727866c69ea0,33,33,1.58055,1.83737,1.58055,1.83737,0.00000
0,gate0,1,82f90331a1dfe968,18,18,2.85724,4.20570,2.85724,4.20570,0.00000
0,gated,1,7e2f727866c69ea0,33,33,1.60026,3.12502,1.60026,3.12502,0.39982
0,gated,1,82f90331a1dfe968,18,18,1.80513,2.54434,1.80513,2.54434,0.39982
0,baseline,2,7e2f727866c69ea0,33,33,1.59317,1.84781,1.59317,1.84781,nan
0,baseline,2,82f90331a1dfe968,18,18,1.92694,2.83881,1.92694,2.83881,nan
0,gate0,2,7e2f727866c69ea0,33,33,1.96062,2.52237,1.96062,2.52237,0.00000
0,gate0,2,82f90331a1dfe968,18,18,2.05453,2.95830,2.05453,2.95830,0.00000
0,gated,2,7e2f727866c69ea0,33,33,2.72332,1.78377,2.72332,1.78377,0.40764
0,gated,2,82f90331a1dfe968,18,18,1.31582,1.78133,1.31582,1.78133,0.40764
0,baseline,3,7e2f727866c69ea0,33,33,1.70107,2.12482,1.70107,2.12482,nan
0,baseline,3,82f90331a1dfe968,18,18,2.99211,4.66284,2.99211,4.66284,nan
0,gate0,3,7e2f727866c69ea0,33,33,1.96836,2.48010,1.96836,2.48010,0.00000
0,gate0,3,82f90331a1dfe968,18,18,2.53519,3.92073,2.53519,3.92073,0.00000
0,gated,3,7e2f727866c69ea0,33,33,2.74445,3.44223,2.74445,3.44223,0.38403
0,gated,3,82f90331a1dfe968,18,18,1.82683,2.60787,1.82683,2.60787,0.38403
0,baseline,4,7e2f727866c69ea0,33,33,1.85374,1.87074,1.85374,1.87074,nan
0,baseline,4,82f90331a1dfe968,18,18,2.62328,4.15176,2.62328,4.15176,nan
0,gate0,4,7e2f727866c69ea0,33,33,2.31466,2.71785,2.31466,2.71785,0.00000
0,gate0,4,82f90331a1dfe968,18,18,2.86651,4.51718,2.86651,4.51718,0.00000
0,gated,4,7e2f727866c69ea0,33,33,1.76645,2.69912,1.76645,2.69912,0.39534
0,gated,4,82f90331a1dfe968,18,18,1.32931,1.91431,1.32931,1.91431,0.39534
0,baseline,5,7e2f727866c69ea0,33,33,1.79119,1.93054,1.79119,1.93054,nan
0,baseline,5,82f90331a1dfe968,18,18,3.21769,5.27915,3.21769,5.27915,nan
0,gate0,5,7e2f727866c69ea0,33,33,1.69765,1.80195,1.69765,1.80195,0.00000
0,gate0,5,82f90331a1dfe968,18,18,3.27755,5.21490,3.27755,5.21490,0.00000
0,gated,5,7e2f727866c69ea0,33,33,1.84177,3.10179,1.84177,3.10179,0.37419
0,gated,5,82f90331a1dfe968,18,18,1.83173,2.51272,1.83173,2.51272,0.37419
0,baseline,6,7e2f727866c69ea0,33,33,1.73447,1.85781,1.73447,1.85781,nan
0,baseline,6,82f90331a1dfe968,18,18,2.59947,4.05784,2.59947,4.05784,nan
0,gate0,6,7e2f727866c69ea0,33,33,1.54620,1.72507,1.54620,1.72507,0.00000
0,gate0,6,82f90331a1dfe968,18,18,2.85015,4.12115,2.85015,4.12115,0.00000
0,gated,6,7e2f727866c69ea0,33,33,1.42703,2.14960,1.42703,2.14960,0.37667
0,gated,6,82f90331a1dfe968,18,18,1.90871,2.40389,1.90871,2.40389,0.37667
0,baseline,7,7e2f727866c69ea0,33,33,1.76686,2.07588,1.76686,2.07588,nan
0,baseline,7,82f90331a1dfe968,18,18,2.65765,4.22894,2.65765,4.22894,nan
0,gate0,7,7e2f727866c69ea0,33,33,2.04799,2.43486,2.04799,2.43486,0.00000
0,gate0,7,82f90331a1dfe968,18,18,2.60679,3.64140,2.60679,3.64140,0.00000
0,gated,7,7e2f727866c69ea0,33,33,1.21567,1.83926,1.21567,1.83926,0.37128
0,gated,7,82f90331a1dfe968,18,18,1.51204,2.29134,1.51204,2.29134,0.37128
0,baseline,0,7e2f727866c69ea0,33,33,2.01646,1.94557,2.01646,1.94557,nan
0,baseline,0,82f90331a1dfe968,18,18,2.60360,3.81441,2.60360,3.81441,nan
